('dólar', 'n') 1.0
('comunicación', 'n') 0.05386428231571205
('política', 'n') 0.05377496936766697
('concepto', 'n') 0.05330018022372467
('balanza', 'n') 0.053300156540332135
('diferencia', 'n') 0.0533001539869616
('elemento', 'n') 0.053093166559525055
('forma', 'n') 0.05275347892535807
('fisco', 'n') 0.052486349090615156
('manejo', 'n') 0.05248628469674811
('competencia', 'n') 0.05239113123260089
('internet', 'n') 0.05230496693932333
('fraude', 'n') 0.052223267785942204
('indemnizaciones', 'n') 0.05222326275842939
('esfuerzo', 'n') 0.0522232326368116
('día', 'n') 0.05205579879035954
('plan', 'n') 0.05189988326516726
('cuestión', 'n') 0.051332758565253586
('informe', 'n') 0.051209133716689996
('proporción', 'n') 0.05120910056482029
('aplicación', 'n') 0.05093552074283633
('norma', 'n') 0.05025189547972023
('experiencia', 'n') 0.05025187856668224
('lechera', 'n') 0.05025186881595535
('realizando', 'n') 0.05025185775330304
('padierna', 'n') 0.05025185540466968
('significativos', 'n') 0.05025185529886694
('paz', 'n') 0.05025185285084354
('frontera', 'n') 0.050251844263771855
('sindicalismo', 'n') 0.05025184125170306
('camioneta', 'n') 0.05025181068455901
('catástrofe', 'n') 0.05025179922518288
('industria', 'n') 0.0495681912249623
('periodo', 'n') 0.04927606237578108
('pena', 'n') 0.048751538826482525
('poder', 'n') 0.04858133919985645
('fecha', 'n') 0.0484881490448008
('cobertura', 'n') 0.04828043825276365
('cristo', 'n') 0.0482804346327711
('filosofía', 'n') 0.048280423679069186
('productivas', 'n') 0.048280401476252496
('planta', 'n') 0.04787303972413019
('institución', 'n') 0.04776878178082755
('prueba', 'n') 0.04737791668343695
('retiro', 'n') 0.04689790023513463
('alianza', 'n') 0.046897886754362086
('proyecto', 'n') 0.046709934591057045
('nacional', 'n') 0.046657721458707446
('autoridad', 'n') 0.04652414578631673
('pregunta', 'n') 0.04615926770916526
('ingreso', 'n') 0.04613051850585971
('tiempo', 'n') 0.04592572827090024
('compañero', 'n') 0.045454514586958726
('tarea', 'n') 0.04545450674562526
('programación', 'n') 0.04494662911283745
('antorcha', 'n') 0.04494661414142203
('seguridad', 'n') 0.04488687933757539
('exportación', 'n') 0.0447810951009927
('perspectiva', 'n') 0.04478109091022809
('búsqueda', 'n') 0.04478107805556183
('baja', 'n') 0.044781077016092886
('opción', 'n') 0.0447810496882679
('cierre', 'n') 0.044136715328868745
('gramo', 'n') 0.04413669363356465
('camino', 'n') 0.043738915001591716
('decisión', 'n') 0.04351951646995318
('secretario', 'n') 0.043519482311511586
('atrayendo', 'n') 0.04351948082943974
('noción', 'n') 0.04351947217067106
('arqueológico', 'n') 0.04351946864233946
('sistemaenancario', 'n') 0.04351943566797077
('asfixia', 'n') 0.04351943013405758
('nubla', 'n') 0.043519426564024466
('ayudarlo', 'n') 0.04351942264797311
('universo', 'n') 0.0435194200398792
('confusos', 'n') 0.04351941855184084
('aparta', 'n') 0.04351941526736716
('equivalente', 'n') 0.04351941417338005
('popularizado', 'n') 0.043519412781091706
('definitivos', 'n') 0.043519409642812625
('gráficas', 'n') 0.043519408117889485
('asistencia', 'n') 0.0435194076773338
('compartiendo', 'n') 0.043519407259416276
('tónica', 'n') 0.043519406490670744
('ambicioso', 'n') 0.04351940628953126
('segregación', 'n') 0.043519406096235884
('perdido', 'n') 0.04351940608193143
('difunda', 'n') 0.043519405270188195
('maravillosa', 'n') 0.04351940486542755
('armonía', 'n') 0.043519404767476046
('redondo', 'n') 0.043519404493529194
('alteración', 'n') 0.043519403749983296
('canadiense', 'n') 0.0435194035781817
('escritas', 'n') 0.04351940340327312
('malestar', 'n') 0.043519403317945744
('dejarlo', 'n') 0.043519403094643055
('ésto', 'n') 0.04351940266399477
('concurridas', 'n') 0.04351940263050506
('botín', 'n') 0.04351940243505952
('prenda', 'n') 0.04351940243416039
('acreditadas', 'n') 0.0435194018854841
('desocupados', 'n') 0.04351940180566744
('parados', 'n') 0.04351940176224731
('controlada', 'n') 0.04351940171339441
('homóloga', 'n') 0.043519401043268506
('geranio', 'n') 0.043519400898142345
('capitalizarlos', 'n') 0.04351940087859637
('obligatoria', 'n') 0.04351940077991435
('domínguez', 'n') 0.04351940038283052
('comprobadas', 'n') 0.0435194000659239
('acreditado', 'n') 0.04351939999108174
('adjudicarlas', 'n') 0.04351939997495469
('parmista', 'n') 0.04351939996707872
('golf', 'n') 0.0435193999538373
('enterraba', 'n') 0.04351939980237722
('creímos', 'n') 0.04351939958946881
('madurez', 'n') 0.04351939953912042
('atracarlos', 'n') 0.04351939953659424
('sentarnos', 'n') 0.04351939947220093
('contacto', 'n') 0.043519398812114314
('vencimientos', 'n') 0.04351939876409928
('comercialización', 'n') 0.04351939866225431
('encaminada', 'n') 0.043519398590428804
('kilo', 'n') 0.04351939851140416
('televisa', 'n') 0.04351939845868253
('difusión', 'n') 0.04351939835955617
('bolseros', 'n') 0.043519398087444164
('equilibrados', 'n') 0.04351939807525607
('derivamos', 'n') 0.043519397999616696
('dueño', 'n') 0.04351939796252841
('enlace', 'n') 0.043519397601008855
('subvención', 'n') 0.04351939754150946
('conectarlo', 'n') 0.043519397525945344
('triunfo', 'n') 0.043519397166395385
('determinación', 'n') 0.043519397113287554
('partitocrazia', 'n') 0.04351939705137286
('inestabilidad', 'n') 0.04351939703777385
('fortalecido', 'n') 0.04351939690778975
('ultrapasteurizada', 'n') 0.04351939638716029
('detenga', 'n') 0.043519396295856765
('paciencia', 'n') 0.043519396176733775
('distorsión', 'n') 0.04351939606108808
('indicaba', 'n') 0.04351939576071087
('subiera', 'n') 0.04351939568758096
('profesionalismo', 'n') 0.04351939563539104
('modificada', 'n') 0.043519395609618226
('conseguirlos', 'n') 0.0435193955774738
('señalando', 'n') 0.043519395560722714
('enriquecimiento', 'n') 0.04351939548857284
('compacto', 'n') 0.043519395461296094
('preferencia', 'n') 0.04351939533660141
('malviviendo', 'n') 0.04351939531196918
('agropecuaria', 'n') 0.043519395285294284
('cautivo', 'n') 0.043519395207611965
('disciplina', 'n') 0.04351939519016374
('manejando', 'n') 0.043519395075598016
('asalariada', 'n') 0.043519394636276514
('dispositivo', 'n') 0.04351939456802717
('dosis', 'n') 0.043519394476131096
('arca', 'n') 0.043519394406488596
('rentabilidad', 'n') 0.04351939434413203
('querella', 'n') 0.043519394330230964
('provisión', 'n') 0.043519394257607855
('alterando', 'n') 0.043519394210863
('rostro', 'n') 0.0435193941670414
('produciendo', 'n') 0.04351939379161694
('encara', 'n') 0.04351939367689136
('solucionamos', 'n') 0.04351939365321276
('ara', 'n') 0.04351939322039651
('sorpresivo', 'n') 0.04351939309728527
('rezagos', 'n') 0.04351939300468981
('físico', 'n') 0.043519392957521295
('tamaño', 'n') 0.043519392939764104
('anuencia', 'n') 0.043519392837677875
('sureste', 'n') 0.04351939283411681
('noruega', 'n') 0.04351939257282195
('catalizador', 'n') 0.043519392537686656
('aporreado', 'n') 0.04351939243798669
('clérigo', 'n') 0.04351939234904756
('inclinara', 'n') 0.043519392204452764
('prioritarias', 'n') 0.04351939219993808
('destrozo', 'n') 0.04351939181535354
('girados', 'n') 0.043519391699947035
('esclarecimiento', 'n') 0.04351939123569681
('pacificación', 'n') 0.04351939123488232
('pesimistas', 'n') 0.043519391137696185
('corrija', 'n') 0.04351939102813395
('policiacos', 'n') 0.04351939078894503
('manipulados', 'n') 0.04351939059577598
('contrajera', 'n') 0.043519390594251084
('planteamiento', 'n') 0.04351939053522859
('artimaña', 'n') 0.04351939032659271
('borrego', 'n') 0.04351939028179378
('montoya', 'n') 0.043519390189830205
('concecuencia', 'n') 0.04351939016816154
('autopista', 'n') 0.04351939010773195
('propongamos', 'n') 0.043519390100593074
('enfermedad', 'n') 0.043519390016557365
('dirigidos', 'n') 0.04351939000244264
('dominio', 'n') 0.04351938976331851
('sacudirlo', 'n') 0.043519389619055854
('privilegio', 'n') 0.04351938944876183
('agropecuario', 'n') 0.04351938916293612
('preparatorias', 'n') 0.04351938895393757
('pasillo', 'n') 0.043519388832044655
('manejadas', 'n') 0.04351938877875516
('pasteurizadoras', 'n') 0.04351938870908896
('porcentaje', 'n') 0.04351938865296616
('herrera', 'n') 0.04351938860890517
('correduría', 'n') 0.043519388579037824
('verso', 'n') 0.04351938846326687
('primario', 'n') 0.04351938837049853
('convenga', 'n') 0.04351938825515197
('pacheco', 'n') 0.043519388177203966
('tranquilo', 'n') 0.043519388042622
('contraloría', 'n') 0.04351938796988439
('docena', 'n') 0.043519387878235255
('orgánica', 'n') 0.04351938776608855
('arribo', 'n') 0.043519387724571305
('supuestas', 'n') 0.04351938742846736
('amortización', 'n') 0.0435193873394862
('honda', 'n') 0.04351938728135543
('calado', 'n') 0.04351938694225245
('navarro', 'n') 0.043519386642772384
('pretendiendo', 'n') 0.043519386481447035
('resolverlo', 'n') 0.04351938628772842
('poderoso', 'n') 0.04351938598015604
('banxico', 'n') 0.043519385922892936
('estimando', 'n') 0.0435193858603139
('concluidas', 'n') 0.04351938585002582
('fideicomiso', 'n') 0.043519385839977644
('espesas', 'n') 0.04351938581363338
('originaría', 'n') 0.04351938564036058
('actualizada', 'n') 0.04351938562158145
('peleando', 'n') 0.043519385406912206
('desempeñaremos', 'n') 0.043519385271293086
('recomendamos', 'n') 0.043519385226546116
('malentendido', 'n') 0.04351938521226519
('florido', 'n') 0.043519385150237413
('comprara', 'n') 0.04351938502588909
('destrucción', 'n') 0.04351938497342831
('frankenstein', 'n') 0.04351938491433111
('mareo', 'n') 0.04351938490782127
('asienta', 'n') 0.0435193845140947
('incidente', 'n') 0.04351938441423905
('esponja', 'n') 0.04351938421996122
('constantino', 'n') 0.04351938414219104
('patrimonio', 'n') 0.04351938408948143
('tlatelolco', 'n') 0.043519384063274096
('rubro', 'n') 0.04351938392477649
('ruptura', 'n') 0.043519383834636764
('crediticia', 'n') 0.043519383830112626
('atención', 'n') 0.043519383809986184
('vergonzoso', 'n') 0.0435193836230179
('desahogado', 'n') 0.04351938342711604
('mutaciones', 'n') 0.04351938330844499
('esprimido', 'n') 0.04351938319640833
('desarrollada', 'n') 0.04351938317152159
('clasificación', 'n') 0.043519383134088006
('pecuarios', 'n') 0.04351938312026689
('trasnferencia', 'n') 0.04351938312026689
('luna', 'n') 0.04351938263602274
('vietnam', 'n') 0.043519382547011556
('operados', 'n') 0.043519382469079784
('subsidiada', 'n') 0.043519382391105046
('trilogía', 'n') 0.04351938233212723
('energía', 'n') 0.0435193821227773
('piel', 'n') 0.04351938209096005
('profundidad', 'n') 0.043519382058487446
('cubículos', 'n') 0.04351938197000017
('aliado', 'n') 0.04351938152282072
('tragedia', 'n') 0.04351938139366634
('co', 'n') 0.04351938135039085
('metereológicas', 'n') 0.04351938133524692
('altarcito', 'n') 0.043519381199854885
('ecocardiogramas', 'n') 0.04351938112071984
('bodrios', 'n') 0.043519381098673295
('paisaje', 'n') 0.04351938085973915
('omc', 'n') 0.043519380822783324
('agraviado', 'n') 0.04351938035231048
('rarotonga', 'n') 0.043519380261104794
('combustible', 'n') 0.04351938013309423
('apuntadas', 'n') 0.043519380024783526
('salvaguarda', 'n') 0.043519379819318575
('sosa', 'n') 0.043519379807384496
('inéditos', 'n') 0.04351937979862814
('jardín', 'n') 0.04351937958400719
('cabeza', 'n') 0.04351937925966794
('sala', 'n') 0.043519379147112895
('córdoba', 'n') 0.04351937911995189
('genaro', 'n') 0.04351937908826492
('castigados', 'n') 0.04351937899188114
('reparación', 'n') 0.04351937899188114
('demandando', 'n') 0.043519378869184756
('velorio', 'n') 0.043519378791244304
('liberalización', 'n') 0.04351937859080406
('pista', 'n') 0.04351937857888875
('huevo', 'n') 0.0435193782503283
('conflictiva', 'n') 0.04351937765402084
('internacionalización', 'n') 0.043519377578316885
('sobrio', 'n') 0.04351937711587006
('colosista', 'n') 0.04351937674690476
('balón', 'n') 0.04351937673729146
('auditoria', 'n') 0.043519376691917216
('considerarlo', 'n') 0.04351937667374053
('impropio', 'n') 0.043519376635633024
('labriego', 'n') 0.04351937651292736
('monetarismo', 'n') 0.043519376482080416
('restrictivo', 'n') 0.043519376482080416
('lágrima', 'n') 0.04351937619092246
('resueltos', 'n') 0.043519376097447306
('aislados', 'n') 0.0435193760883191
('custodios', 'n') 0.04351937601086306
('causante', 'n') 0.043519375959899576
('comprando', 'n') 0.043519375808899176
('intolerancia', 'n') 0.0435193754045504
('inmundas', 'n') 0.04351937530415564
('tanque', 'n') 0.04351937502497812
('desierto', 'n') 0.043519374532141046
('agricultor', 'n') 0.04351937392587127
('madrastra', 'n') 0.04351937389612856
('experimento', 'n') 0.043519373588928184
('tío', 'n') 0.04351937334075418
('enlazada', 'n') 0.043519373082074625
('espectro', 'n') 0.043519372936464164
('extranjero', 'n') 0.04351937289047544
('pacientes', 'n') 0.043519372485829266
('tutor', 'n') 0.0435193724429091
('blemas', 'n') 0.043519371877341506
('hecha', 'n') 0.04351937176737344
('fructífero', 'n') 0.04351937142873136
('leguleyo', 'n') 0.043519371290552646
('examinemos', 'n') 0.04351937120964717
('acertadas', 'n') 0.04351937071979138
('aviso', 'n') 0.043519370683955665
('austria', 'n') 0.04351936973062529
('apoderamientos', 'n') 0.0435193688321297
('procampo', 'n') 0.043519368707458754
('llorona', 'n') 0.043519368635328105
('duplicidad', 'n') 0.04351936846573795
('vado', 'n') 0.043519368337573375
('fraudulentas', 'n') 0.04351936718887045
('etiqueta', 'n') 0.04351936675015247
('ecocidio', 'n') 0.043519365380861076
('rigor', 'n') 0.04351936374101054
('mundial', 'n') 0.04351936333917472
('seríainnsensato', 'n') 0.04351936256768497
('enfrenta', 'n') 0.04351936178645084
('colgadas', 'n') 0.04351936134538857
('patrocinio', 'n') 0.04351936103561885
('apresado', 'n') 0.04351936081137202
('creencia', 'n') 0.043519360721652044
('facto', 'n') 0.04351935877345198
('garrido', 'n') 0.04351935855312876
('maniobra', 'n') 0.04351935771375641
('fastuosa', 'n') 0.04351935686690917
('madrid', 'n') 0.04351935671529046
('prestigio', 'n') 0.04351935670694114
('huatulco', 'n') 0.043519355788610714
('beneficiada', 'n') 0.04351935536892773
('piedra', 'n') 0.043519355053406504
('anillo', 'n') 0.043519354622240825
('toga', 'n') 0.043519351580591684
('darlas', 'n') 0.043519350812051404
('ministro', 'n') 0.04351934969620549
('cómplice', 'n') 0.043519348299856986
('chacona', 'n') 0.04351934613845667
('alberto', 'n') 0.04351934037763203
('edición', 'n') 0.042927285263342455
('flujo', 'n') 0.0429272607182463
('persona', 'n') 0.04261397828537248
('información', 'n') 0.04245001829242868
('dirección', 'n') 0.042358571909049174
('crédito', 'n') 0.042269814791797464
('empresario', 'n') 0.042220014182883264
('diseño', 'n') 0.04222001168351671
('delincuencia', 'n') 0.042219995690978895
('evolución', 'n') 0.042219990049727964
('fracaso', 'n') 0.041812094027008986
('municipio', 'n') 0.04161257721225672
('análisis', 'n') 0.04131843982284581
('característica', 'n') 0.04128613028481836
('reforma', 'n') 0.04126549814603514
('ejemplo', 'n') 0.04103049800649226
('inversionistas', 'n') 0.04103048647702764
('ámbito', 'n') 0.04103048203984376
('pérdida', 'n') 0.04103044624419787
('autobús', 'n') 0.039936155289896004
('color', 'n') 0.0399361442492919
('ciberespacio', 'n') 0.039936139029619004
('duda', 'n') 0.039364784450324444
('idea', 'n') 0.03936477924773074
('margen', 'n') 0.03936471356017391
('población', 'n') 0.03917050287688413
('cercanía', 'n') 0.03892493942431703
('prelado', 'n') 0.03892493792138814
('uso', 'n') 0.0389249374368588
('eliminadas', 'n') 0.03892493617135819
('repercusión', 'n') 0.03892493522978399
('encanto', 'n') 0.03892493471053335
('comparación', 'n') 0.038924933246920895
('suplantado', 'n') 0.03892493239439016
('agudizando', 'n') 0.03892493155440322
('señal', 'n') 0.03892492924324965
('kilogramo', 'n') 0.038924928951248015
('pienso', 'n') 0.03892492841250824
('vencimiento', 'n') 0.038924927849666925
('administradora', 'n') 0.03892492698780365
('tono', 'n') 0.038924925235652684
('encamado', 'n') 0.038924920861407517
('café', 'n') 0.038924913758106514
('depósito', 'n') 0.03892490728313758
('desarrollo', 'n') 0.03849959970291448
('familia', 'n') 0.038499531879525185
('operación', 'n') 0.038499517240871896
('cantidad', 'n') 0.03844735301725826
('vida', 'n') 0.03816912509292621
('documento', 'n') 0.038087709751906285
('liconsa', 'n') 0.037986857814215104
('beneficios', 'n') 0.03798683719030844
('pérez', 'n') 0.03798683492318236
('velocidad', 'n') 0.03798682365691372
('piso', 'n') 0.037986793919728125
('periódico', 'n') 0.0376889466809106
('carretera', 'n') 0.037302363721667
('proteína', 'n') 0.037113482986119745
('misión', 'n') 0.03711346049214231
('democracia', 'n') 0.03711345719021289
('impuesto', 'n') 0.037113425551431975
('vía', 'n') 0.03692744484355414
('productor', 'n') 0.03692744339740165
('tecnología', 'n') 0.03678075544206112
('santa', 'n') 0.03669897688906095
('moratoria', 'n') 0.036297675985763465
('respeto', 'n') 0.03621032783046588
('niño', 'n') 0.035867092357446
('noticia', 'n') 0.035867066150702384
('puerta', 'n') 0.03553344506091737
