('dólar', 'n') 0.18572040490015004
('recorte', 'n') 0.03939523596261085
('abandono', 'n') 0.039395235222416634
('sumario', 'n') 0.039395235164796004
('india', 'n') 0.03939523370735275
('jubilado', 'n') 0.03939523288300681
('liquidados', 'n') 0.03939523288300681
('retroactivo', 'n') 0.03939523288300681
('obstáculo', 'n') 0.03939522258689859
('estancamiento', 'n') 0.03939521684227147
('aguirre', 'n') 0.03939520414093464
('morada', 'n') 0.03939520262587201
('altar', 'n') 0.039395202625872004
('cortina', 'n') 0.039395202625872004
('debilidad', 'n') 0.039395202625872004
('entusiasmo', 'n') 0.039395202625872004
('multitud', 'n') 0.039395202625872004
('predomina', 'n') 0.039395202625872004
('ayuno', 'n') 0.039395197795144235
('costa', 'n') 0.039395197795144235
('cuesta', 'n') 0.039395197795144235
('especulativos', 'n') 0.039395197795144235
('estrago', 'n') 0.039395197795144235
('exportadores', 'n') 0.039395197795144235
('inflacionario', 'n') 0.039395197795144235
('traduzca', 'n') 0.039395197795144235
('efervescencia', 'n') 0.039395197435742116
('tendencia', 'n') 0.039395197339404026
('altísimo', 'n') 0.03939519592067973
('dominando', 'n') 0.03939519592067973
('encerrados', 'n') 0.03939519592067973
('jurando', 'n') 0.03939519592067973
('manifestación', 'n') 0.03939519592067973
('marginado', 'n') 0.03939519592067973
('predecirla', 'n') 0.03939519592067973
('quincena', 'n') 0.03939519592067973
('crecimiento', 'n') 0.03501798012591958
('tasa', 'n') 0.03312710971117917
('clima', 'n') 0.03282936417000227
('huelga', 'n') 0.03282934359571743
('semestre', 'n') 0.029546453010131313
('acusación', 'n') 0.029546427544441617
('levantamiento', 'n') 0.02954642601772156
('vuelta', 'n') 0.029546425390563458
('emisión', 'n') 0.02954642355677632
('nómina', 'n') 0.029546422791574115
('resto', 'n') 0.029546419601686448
('tesoro', 'n') 0.029546418907621545
('reflexión', 'n') 0.029546416777616047
('estabilidad', 'n') 0.02954641443982963
('ser', 'n') 0.029546411251023502
('sustitución', 'n') 0.029546409735249118
('eficacia', 'n') 0.02954640388530512
('primaria', 'n') 0.026263494624281177
('final', 'n') 0.026263494275450685
('operador', 'n') 0.026263494176239698
('corriente', 'n') 0.024622009139841076
('peso', 'n') 0.024621995617215953
('función', 'n') 0.024074864992247806
('ciento', 'n') 0.02319777861837856
('comportamiento', 'n') 0.022980555518203154
('inflación', 'n') 0.020485516978364492
('arqueológico', 'n') 0.01969763774750452
('atrayendo', 'n') 0.01969763774750452
('noción', 'n') 0.01969763774750452
('pena', 'n') 0.019697632545550722
('asfixia', 'n') 0.019697627488055074
('sistemaenancario', 'n') 0.019697627488055074
('aparta', 'n') 0.019697625436159532
('asistencia', 'n') 0.019697625436159525
('colosista', 'n') 0.019697625436159525
('comprobadas', 'n') 0.019697625436159525
('confusos', 'n') 0.019697625436159525
('espesas', 'n') 0.019697625436159525
('gráficas', 'n') 0.019697625436159525
('llorona', 'n') 0.019697625436159525
('lágrima', 'n') 0.019697625436159525
('nubla', 'n') 0.019697625436159525
('velorio', 'n') 0.019697625436159525
('comercialización', 'n') 0.019697624068228115
('pecuarios', 'n') 0.019697624068228115
('tanque', 'n') 0.019697624068228115
('trasnferencia', 'n') 0.019697624068228115
('larios', 'n') 0.019697623330397474
('cubículos', 'n') 0.019697623197725868
('ecocardiogramas', 'n') 0.019697623197725868
('herrera', 'n') 0.019697623197725868
('ayudarlo', 'n') 0.019697622793037058
('enterraba', 'n') 0.019697622793037058
('fortalecido', 'n') 0.019697622793037058
('partitocrazia', 'n') 0.019697622793037058
('villegas', 'n') 0.019697622229365868
('tamaño', 'n') 0.019697621918619918
('prioritarias', 'n') 0.019697621918619915
('segregación', 'n') 0.019697621918619915
('universo', 'n') 0.019697621918619915
('utópica', 'n') 0.019697621791861623
('armonía', 'n') 0.01969762166510333
('destrozo', 'n') 0.01969762166510333
('navarro', 'n') 0.01969762166510333
('paisaje', 'n') 0.01969762166510333
('popularizado', 'n') 0.01969762166510333
('réditos', 'n') 0.0196976215026171
('asueto', 'n') 0.019697621281856502
('precepto', 'n') 0.019697621035544927
('racha', 'n') 0.01969762087858548
('difusión', 'n') 0.019697620648395916
('acreditadas', 'n') 0.019697620648395912
('botín', 'n') 0.019697620648395912
('dirigidos', 'n') 0.019697620648395912
('enlace', 'n') 0.019697620648395912
('enriquecimiento', 'n') 0.019697620648395912
('operados', 'n') 0.019697620648395912
('primario', 'n') 0.019697620648395912
('redondo', 'n') 0.019697620648395912
('subvención', 'n') 0.019697620648395912
('tónica', 'n') 0.019697620648395912
('encamado', 'n') 0.019697620633707044
('anuencia', 'n') 0.019697620613139885
('equilibrados', 'n') 0.019697620613139885
('docto', 'n') 0.019697620600293807
('repercusión', 'n') 0.019697620436123824
('controlada', 'n') 0.019697620083379653
('correduría', 'n') 0.019697620083379653
('legislador', 'n') 0.019697620067921702
('ritmo', 'n') 0.019697620007950126
('emisora', 'n') 0.01969761997198235
('blemas', 'n') 0.01969761994181836
('bolseros', 'n') 0.01969761994181836
('fideicomiso', 'n') 0.01969761994181836
('perdido', 'n') 0.01969761994181836
('aliado', 'n') 0.019697619876175014
('apresado', 'n') 0.019697619876175014
('geranio', 'n') 0.019697619876175014
('golf', 'n') 0.019697619876175014
('maravillosa', 'n') 0.019697619876175014
('omc', 'n') 0.019697619876175014
('pacientes', 'n') 0.019697619876175014
('poderoso', 'n') 0.019697619876175014
('televisa', 'n') 0.019697619876175014
('tranquilo', 'n') 0.019697619876175014
('triunfo', 'n') 0.019697619876175014
('acreditado', 'n') 0.019697619854994092
('agropecuaria', 'n') 0.019697619854994092
('ambicioso', 'n') 0.019697619854994092
('aporreado', 'n') 0.019697619854994092
('ara', 'n') 0.019697619854994092
('catalizador', 'n') 0.019697619854994092
('compartiendo', 'n') 0.019697619854994092
('detenga', 'n') 0.019697619854994092
('encaminada', 'n') 0.019697619854994092
('leguleyo', 'n') 0.019697619854994092
('paciencia', 'n') 0.019697619854994092
('parados', 'n') 0.019697619854994092
('pasillo', 'n') 0.019697619854994092
('pista', 'n') 0.019697619854994092
('sala', 'n') 0.019697619854994092
('sentarnos', 'n') 0.019697619854994092
('subiera', 'n') 0.019697619854994092
('verso', 'n') 0.019697619854994092
('eliminadas', 'n') 0.01969761978010421
('cercanía', 'n') 0.019697619780104206
('suplantado', 'n') 0.019697619780104206
('alimentación', 'n') 0.019697619754050683
('pacheco', 'n') 0.019697619715713495
('crediticia', 'n') 0.019697619678591797
('dueño', 'n') 0.019697619678591797
('malentendido', 'n') 0.019697619678591797
('pasteurizadoras', 'n') 0.019697619678591797
('planteamiento', 'n') 0.019697619678591797
('solucionamos', 'n') 0.019697619678591797
('fenómeno', 'n') 0.019697619518858983
('determinación', 'n') 0.019697619402760366
('incidente', 'n') 0.019697619402760366
('monetarismo', 'n') 0.019697619402760366
('recomendamos', 'n') 0.019697619402760366
('restrictivo', 'n') 0.019697619402760366
('agudizando', 'n') 0.019697619401196242
('café', 'n') 0.01969761939512283
('distintivo', 'n') 0.019697619350582004
('influencia', 'n') 0.019697619299382102
('encanto', 'n') 0.01969761928888629
('kilogramo', 'n') 0.01969761928888629
('agropecuario', 'n') 0.01969761912627238
('clérigo', 'n') 0.01969761912627238
('concecuencia', 'n') 0.01969761912627238
('concurridas', 'n') 0.01969761912627238
('considerarlo', 'n') 0.01969761912627238
('desocupados', 'n') 0.01969761912627238
('docena', 'n') 0.01969761912627238
('madurez', 'n') 0.01969761912627238
('malviviendo', 'n') 0.01969761912627238
('prenda', 'n') 0.01969761912627238
('tragedia', 'n') 0.01969761912627238
('vencimiento', 'n') 0.019697619122092395
('rubin', 'n') 0.019697619109650333
('pienso', 'n') 0.019697619102772637
('madrastra', 'n') 0.019697619022572214
('artimaña', 'n') 0.01969761902257221
('destrucción', 'n') 0.01969761902257221
('enfermedad', 'n') 0.01969761902257221
('privilegio', 'n') 0.01969761902257221
('rezagos', 'n') 0.01969761902257221
('tío', 'n') 0.01969761902257221
('apuntadas', 'n') 0.019697619003177475
('asalariada', 'n') 0.019697619003177475
('balón', 'n') 0.019697619003177475
('definitivos', 'n') 0.019697619003177475
('escritas', 'n') 0.019697619003177475
('mareo', 'n') 0.019697619003177475
('patrimonio', 'n') 0.019697619003177475
('piel', 'n') 0.019697619003177475
('propongamos', 'n') 0.019697619003177475
('señalando', 'n') 0.019697619003177475
('divisa', 'n') 0.01969761896969869
('fuego', 'n') 0.019697618907371595
('prelado', 'n') 0.019697618760393713
('tono', 'n') 0.019697618760393713
('depósito', 'n') 0.019697618760393706
('comparación', 'n') 0.01969761871728106
('combustible', 'n') 0.019697618714099363
('energía', 'n') 0.019697618714099363
('subsidiada', 'n') 0.019697618714099363
('pagados', 'n') 0.019697618693566312
('distorsión', 'n') 0.01969761864366426
('ultrapasteurizada', 'n') 0.01969761864366426
('aislados', 'n') 0.019697618643664257
('alberto', 'n') 0.019697618643664257
('alteración', 'n') 0.019697618643664257
('alterando', 'n') 0.019697618643664257
('canadiense', 'n') 0.019697618643664257
('co', 'n') 0.019697618643664257
('contrajera', 'n') 0.019697618643664257
('cómplice', 'n') 0.019697618643664257
('desempeñaremos', 'n') 0.019697618643664257
('difunda', 'n') 0.019697618643664257
('enfrenta', 'n') 0.019697618643664257
('esponja', 'n') 0.019697618643664257
('esprimido', 'n') 0.019697618643664257
('examinemos', 'n') 0.019697618643664257
('inestabilidad', 'n') 0.019697618643664257
('liberalización', 'n') 0.019697618643664257
('ministro', 'n') 0.019697618643664257
('mundial', 'n') 0.019697618643664257
('mutaciones', 'n') 0.019697618643664257
('sorpresivo', 'n') 0.019697618643664257
('sureste', 'n') 0.019697618643664257
('toga', 'n') 0.019697618643664257
('actualizada', 'n') 0.019697618637590845
('arca', 'n') 0.019697618637590845
('chacona', 'n') 0.019697618637590845
('contacto', 'n') 0.019697618637590845
('corrija', 'n') 0.019697618637590845
('dejarlo', 'n') 0.019697618637590845
('desarrollada', 'n') 0.019697618637590845
('disciplina', 'n') 0.019697618637590845
('dominio', 'n') 0.019697618637590845
('dosis', 'n') 0.019697618637590845
('ecocidio', 'n') 0.019697618637590845
('espectro', 'n') 0.019697618637590845
('fraudulentas', 'n') 0.019697618637590845
('jardín', 'n') 0.019697618637590845
('manejando', 'n') 0.019697618637590845
('policiacos', 'n') 0.019697618637590845
('rigor', 'n') 0.019697618637590845
('rostro', 'n') 0.019697618637590845
('supuestas', 'n') 0.019697618637590845
('estima', 'n') 0.019697618614411168
('precisión', 'n') 0.019697618564567067
('cautivo', 'n') 0.01969761853135431
('ésto', 'n') 0.01969761853135431
('adjudicarlas', 'n') 0.019697618531354308
('agricultor', 'n') 0.019697618531354308
('asienta', 'n') 0.019697618531354308
('comprara', 'n') 0.019697618531354308
('constantino', 'n') 0.019697618531354308
('contraloría', 'n') 0.019697618531354308
('dispositivo', 'n') 0.019697618531354308
('domínguez', 'n') 0.019697618531354308
('girados', 'n') 0.019697618531354308
('kilo', 'n') 0.019697618531354308
('preferencia', 'n') 0.019697618531354308
('procampo', 'n') 0.019697618531354308
('rentabilidad', 'n') 0.019697618531354308
('rubro', 'n') 0.019697618531354308
('vado', 'n') 0.019697618531354308
('sacudirlo', 'n') 0.019697618364560424
('amortización', 'n') 0.01969761836456042
('arribo', 'n') 0.01969761836456042
('aviso', 'n') 0.01969761836456042
('cabeza', 'n') 0.01969761836456042
('capitalizarlos', 'n') 0.01969761836456042
('compacto', 'n') 0.01969761836456042
('convenga', 'n') 0.01969761836456042
('esclarecimiento', 'n') 0.01969761836456042
('estimando', 'n') 0.01969761836456042
('fructífero', 'n') 0.01969761836456042
('inclinara', 'n') 0.01969761836456042
('inéditos', 'n') 0.01969761836456042
('originaría', 'n') 0.01969761836456042
('resolverlo', 'n') 0.01969761836456042
('vencimientos', 'n') 0.01969761836456042
('porcentaje', 'n') 0.019697618345240666
('anillo', 'n') 0.019697618345240663
('atracarlos', 'n') 0.019697618345240663
('autopista', 'n') 0.019697618345240663
('colgadas', 'n') 0.019697618345240663
('conseguirlos', 'n') 0.019697618345240663
('demandando', 'n') 0.019697618345240663
('experimento', 'n') 0.019697618345240663
('extranjero', 'n') 0.019697618345240663
('fastuosa', 'n') 0.019697618345240663
('florido', 'n') 0.019697618345240663
('frankenstein', 'n') 0.019697618345240663
('huatulco', 'n') 0.019697618345240663
('huevo', 'n') 0.019697618345240663
('labriego', 'n') 0.019697618345240663
('madrid', 'n') 0.019697618345240663
('malestar', 'n') 0.019697618345240663
('maniobra', 'n') 0.019697618345240663
('piedra', 'n') 0.019697618345240663
('prestigio', 'n') 0.019697618345240663
('produciendo', 'n') 0.019697618345240663
('profundidad', 'n') 0.019697618345240663
('sosa', 'n') 0.019697618345240663
('encarecimiento', 'n') 0.019697618174051204
('reactivación', 'n') 0.019697618174051204
('modo', 'n') 0.019697618162154762
('afán', 'n') 0.01969761815249488
('españa', 'n') 0.019697618152494878
('metereológicas', 'n') 0.019697618002861753
('acertadas', 'n') 0.01969761800286175
('apoderamientos', 'n') 0.01969761800286175
('auditoria', 'n') 0.01969761800286175
('bodrios', 'n') 0.01969761800286175
('castigados', 'n') 0.01969761800286175
('comprando', 'n') 0.01969761800286175
('concluidas', 'n') 0.01969761800286175
('conectarlo', 'n') 0.01969761800286175
('conflictiva', 'n') 0.01969761800286175
('creímos', 'n') 0.01969761800286175
('córdoba', 'n') 0.01969761800286175
('darlas', 'n') 0.01969761800286175
('derivamos', 'n') 0.01969761800286175
('desierto', 'n') 0.01969761800286175
('encara', 'n') 0.01969761800286175
('etiqueta', 'n') 0.01969761800286175
('honda', 'n') 0.01969761800286175
('impropio', 'n') 0.01969761800286175
('indicaba', 'n') 0.01969761800286175
('internacionalización', 'n') 0.01969761800286175
('manejadas', 'n') 0.01969761800286175
('modificada', 'n') 0.01969761800286175
('montoya', 'n') 0.01969761800286175
('obligatoria', 'n') 0.01969761800286175
('orgánica', 'n') 0.01969761800286175
('pesimistas', 'n') 0.01969761800286175
('preparatorias', 'n') 0.01969761800286175
('profesionalismo', 'n') 0.01969761800286175
('provisión', 'n') 0.01969761800286175
('querella', 'n') 0.01969761800286175
('reparación', 'n') 0.01969761800286175
('salvaguarda', 'n') 0.01969761800286175
('sobrio', 'n') 0.01969761800286175
('vergonzoso', 'n') 0.01969761800286175
('altarcito', 'n') 0.019697617959749104
('manipulados', 'n') 0.019697617959749104
('rarotonga', 'n') 0.019697617959749104
('tlatelolco', 'n') 0.019697617959749104
('agraviado', 'n') 0.0196976179597491
('austria', 'n') 0.0196976179597491
('banxico', 'n') 0.0196976179597491
('beneficiada', 'n') 0.0196976179597491
('borrego', 'n') 0.0196976179597491
('calado', 'n') 0.0196976179597491
('causante', 'n') 0.0196976179597491
('clasificación', 'n') 0.0196976179597491
('creencia', 'n') 0.0196976179597491
('custodios', 'n') 0.0196976179597491
('desahogado', 'n') 0.0196976179597491
('duplicidad', 'n') 0.0196976179597491
('enlazada', 'n') 0.0196976179597491
('facto', 'n') 0.0196976179597491
('físico', 'n') 0.0196976179597491
('garrido', 'n') 0.0196976179597491
('genaro', 'n') 0.0196976179597491
('hecha', 'n') 0.0196976179597491
('homóloga', 'n') 0.0196976179597491
('inmundas', 'n') 0.0196976179597491
('intolerancia', 'n') 0.0196976179597491
('luna', 'n') 0.0196976179597491
('noruega', 'n') 0.0196976179597491
('pacificación', 'n') 0.0196976179597491
('parmista', 'n') 0.0196976179597491
('patrocinio', 'n') 0.0196976179597491
('peleando', 'n') 0.0196976179597491
('pretendiendo', 'n') 0.0196976179597491
('resueltos', 'n') 0.0196976179597491
('ruptura', 'n') 0.0196976179597491
('seríainnsensato', 'n') 0.0196976179597491
('trilogía', 'n') 0.0196976179597491
('tutor', 'n') 0.0196976179597491
('vietnam', 'n') 0.0196976179597491
('secreto', 'n') 0.01969761717019368
('rendimiento', 'n') 0.019697615660392263
('padierna', 'n') 0.019697614929622027
('sitio', 'n') 0.019697614900939065
('éxito', 'n') 0.01969761463238297
('hormiga', 'n') 0.019697613986163914
('gasolina', 'n') 0.019697613411377397
('productividad', 'n') 0.019697613411377397
('tope', 'n') 0.019697613228632387
('modificación', 'n') 0.019697613115272104
('déficit', 'n') 0.019697609385269294
('sufrimiento', 'n') 0.01969760825821334
('especialista', 'n') 0.01969760788572418
('fantasma', 'n') 0.019697606773619827
('antorcha', 'n') 0.019697606615651713
('extremo', 'n') 0.01969760527959854
('fisco', 'n') 0.0196976035855286
('mitad', 'n') 0.01969760277260427
('recinto', 'n') 0.019697601312936
('embate', 'n') 0.019697599655103065
('interés', 'n') 0.01969679203725952
('economía', 'n') 0.017333850908017347
('estrategia', 'n') 0.0172354120657729
('monto', 'n') 0.01723541178894612
('suma', 'n') 0.0172354096442616
('promedio', 'n') 0.01723539888334759
('riesgo', 'n') 0.016883669583245296
('índice', 'n') 0.016883664558334805
('torno', 'n') 0.016883662426001908
('trimestre', 'n') 0.01658752953914759
('empleado', 'n') 0.016414691072463815
('motivo', 'n') 0.016414670581407262
('disminución', 'n') 0.015758094922897994
('efecto', 'n') 0.015758087030581576
('negocio', 'n') 0.01515201823804297
('recuperación', 'n') 0.01506287899888345
('ernesto', 'n') 0.014773220376401944
('chapa', 'n') 0.01477321428752621
('orden', 'n') 0.014773211944376783
('legislativa', 'n') 0.014773207111705558
('gramo', 'n') 0.014773206866454006
('incremento', 'n') 0.014773186243263452
('esquema', 'n') 0.014773164956875836
('medida', 'n') 0.01422605487133438
('mecanismo', 'n') 0.01406973467272541
('caída', 'n') 0.014069726790045315
('playa', 'n') 0.01406972358425207
('grasa', 'n') 0.014069717956473276
('ejecutivo', 'n') 0.014069712444325349
('hectárea', 'n') 0.01386085271699003
('término', 'n') 0.013788325834803402
('cartera', 'n') 0.013636872369803273
('norma', 'n') 0.01313175114041593
('cristo', 'n') 0.01313174848648875
('equivalente', 'n') 0.013131747517117777
('confianza', 'n') 0.013131747285443317
('experiencia', 'n') 0.01313174706686254
('cobertura', 'n') 0.013131746571765884
('realizando', 'n') 0.013131746550524464
('filosofía', 'n') 0.01313174644326869
('sindicalismo', 'n') 0.01313174588672102
('significativos', 'n') 0.013131745882280579
('paz', 'n') 0.013131745879446967
('obligación', 'n') 0.013131745857424836
('frontera', 'n') 0.013131745548842003
('insumos', 'n') 0.013131743359489067
('administradora', 'n') 0.013131743315155476
('programación', 'n') 0.013131741907205362
('productivas', 'n') 0.013131740446887728
('analista', 'n') 0.013131740076466588
('camioneta', 'n') 0.013131734208624003
('catástrofe', 'n') 0.01313173197355991
('nivel', 'n') 0.012879209886104626
('cifra', 'n') 0.012311022598672974
('relación', 'n') 0.012311012902270012
('incumplimiento', 'n') 0.012311012053833132
('responsabilidad', 'n') 0.012311008260017749
('pago', 'n') 0.012193726071078631
('mes', 'n') 0.011989860206955145
('sector', 'n') 0.011989835538234999
('dinero', 'n') 0.011937930025120938
('concepto', 'n') 0.011818574138625419
('voz', 'n') 0.011818573569925661
('balanza', 'n') 0.011818573042017569
('fracaso', 'n') 0.011818571562800414
('actualidad', 'n') 0.011818571204944698
('bolsa', 'n') 0.01181857076338395
('retiro', 'n') 0.011818570263224054
('fraude', 'n') 0.011818567293933857
('casa', 'n') 0.011818566472748723
('lechera', 'n') 0.011818566072030797
('figura', 'n') 0.011818564654853585
('lugar', 'n') 0.011490275152635652
('millón', 'n') 0.011411183054551726
('mundo', 'n') 0.011364011786557989
('cambio', 'n') 0.011363975607690181
('minuto', 'n') 0.011255784329129465
('circunstancia', 'n') 0.011255783951808077
('futuro', 'n') 0.011255783599911105
('banquero', 'n') 0.011255783524769386
('instituto', 'n') 0.011255782858979931
('presión', 'n') 0.011255777262602212
('oficina', 'n') 0.011255776842292297
('deuda', 'n') 0.011030685215026525
('desempleo', 'n') 0.010943125798347837
('área', 'n') 0.010943117315289852
('compromiso', 'n') 0.0109431169382343
('consumo', 'n') 0.010606410005471096
('acuerdo', 'n') 0.010552263115530348
('costo', 'n') 0.010428156201215075
('salario', 'n') 0.010428117952595309
('estrato', 'n') 0.00984881887375226
('plazo', 'n') 0.009848818768203933
('unidad', 'n') 0.009848817793586675
('dato', 'n') 0.009848816100747369
('plano', 'n') 0.009848815751313933
('cuestión', 'n') 0.009848815602402425
('lejana', 'n') 0.0098488154539384
('citadino', 'n') 0.009848813096845748
('fotografía', 'n') 0.009848812718079763
('muerto', 'n') 0.00984881271807976
('liconsa', 'n') 0.009848812589409606
('proteína', 'n') 0.009848812410475822
('autobús', 'n') 0.00984881225097996
('color', 'n') 0.009848812246130573
('inactivas', 'n') 0.009848811531707979
('auditorias', 'n') 0.009848811338075874
('polvo', 'n') 0.009848811215654476
('enlaza', 'n') 0.009848811211317577
('fantasía', 'n') 0.009848811211317577
('ascenso', 'n') 0.00984881115294204
('informe', 'n') 0.009848811085926636
('revolucionario', 'n') 0.00984881108172977
('infraestructura', 'n') 0.009848810959309956
('inversionistas', 'n') 0.009848810898102288
('romero', 'n') 0.009848810832551663
('michel', 'n') 0.009848810780740734
('ciberespacio', 'n') 0.009848810764738317
('corporativas', 'n') 0.009848810702963848
('objetivas', 'n') 0.009848810685028828
('quiebra', 'n') 0.00984881055102617
('restrictiva', 'n') 0.009848810458911948
('volatilidad', 'n') 0.009848810420455708
('trato', 'n') 0.009848810324197956
('farmacia', 'n') 0.009848810320667945
('espectador', 'n') 0.009848810316853385
('conjunto', 'n') 0.009848810306262924
('desempeño', 'n') 0.009848810306262924
('ámbito', 'n') 0.009848810279091551
('préstamo', 'n') 0.009848810218061773
('participación', 'n') 0.009848810173701194
('desabasto', 'n') 0.009848810137728484
('democratizadora', 'n') 0.009848810116172158
('calderón', 'n') 0.009848810080146052
('hinojosa', 'n') 0.009848810080146052
('ociosa', 'n') 0.009848810079363864
('desequilibrio', 'n') 0.00984880997090918
('insuficiencia', 'n') 0.00984880997090918
('cultivo', 'n') 0.009848809970909178
('necesita', 'n') 0.009848809970909178
('estabilización', 'n') 0.009848809941902055
('descubrimiento', 'n') 0.009848809938087507
('proteja', 'n') 0.009848809938087507
('marea', 'n') 0.009848809938087505
('viento', 'n') 0.009848809938087505
('derrota', 'n') 0.009848809927497046
('plataforma', 'n') 0.009848809927497046
('estacionamiento', 'n') 0.009848809927497044
('requerimiento', 'n') 0.009848809890051966
('diseño', 'n') 0.009848809884723699
('insumo', 'n') 0.009848809880354598
('tribuna', 'n') 0.009848809880354598
('ciencia', 'n') 0.009848809839295898
('sección', 'n') 0.009848809839295898
('indemnizaciones', 'n') 0.009848809773311708
('diferencia', 'n') 0.009848809747386672
('parámetro', 'n') 0.009848809701380183
('liquidez', 'n') 0.009848809700597982
('liévano', 'n') 0.009848809644443006
('expediente', 'n') 0.009848809563136189
('finqueros', 'n') 0.009848809561046057
('dificultad', 'n') 0.00984880955138618
('instrumentado', 'n') 0.00984880955138618
('pasajero', 'n') 0.00984880955138618
('automóvil', 'n') 0.009848809511286106
('exceso', 'n') 0.009848809511286106
('quintero', 'n') 0.009848809511286106
('zócalo', 'n') 0.009848809511286106
('dependencia', 'n') 0.009848809511286104
('encuentro', 'n') 0.009848809511286104
('acierto', 'n') 0.009848809501588736
('delincuencia', 'n') 0.00984880946579117
('acento', 'n') 0.009848809380196716
('cláusula', 'n') 0.009848809380196716
('identificación', 'n') 0.009848809380196716
('lácteas', 'n') 0.009848809380196716
('metro', 'n') 0.009848809380196716
('minúscula', 'n') 0.009848809380196716
('peña', 'n') 0.009848809380196716
('recomendación', 'n') 0.009848809380196716
('apoderado', 'n') 0.009848809358640392
('asambleísta', 'n') 0.009848809358640392
('nombramiento', 'n') 0.009848809358640392
('rodrigo', 'n') 0.009848809358640392
('sindicalizados', 'n') 0.009848809357049682
('ánimo', 'n') 0.009848809321832127
('apostados', 'n') 0.009848809318795422
('calor', 'n') 0.009848809318795422
('inmueble', 'n') 0.009848809318795422
('responsable', 'n') 0.009848809318795422
('vendidos', 'n') 0.009848809318795422
('órbita', 'n') 0.009848809318795422
('francia', 'n') 0.00984880931879542
('homilía', 'n') 0.00984880931879542
('mercadeo', 'n') 0.00984880931879542
('razonamiento', 'n') 0.00984880931879542
('elaborada', 'n') 0.009848809265677154
('redocumentado', 'n') 0.009848809265677154
('negativa', 'n') 0.009848809265677152
('simpatía', 'n') 0.00984880918228021
('instrumento', 'n') 0.009848809182280208
('actor', 'n') 0.009848809172620331
('aforo', 'n') 0.009848809172620331
('aterrizaje', 'n') 0.009848809172620331
('formatos', 'n') 0.009848809172620331
('ilusión', 'n') 0.009848809172620331
('invasor', 'n') 0.009848809172620331
('méxicoquerétaro', 'n') 0.009848809172620331
('técnica', 'n') 0.009848809172620331
('invadidos', 'n') 0.00984880917262033
('atención', 'n') 0.009848809081077381
('asistente', 'n') 0.009848809001430875
('barrio', 'n') 0.009848809001430875
('convencidos', 'n') 0.009848809001430875
('legislativo', 'n') 0.009848809001430875
('reestructura', 'n') 0.009848809001430875
('rubros', 'n') 0.009848809001430875
('sobrevivencia', 'n') 0.009848809001430875
('copia', 'n') 0.009848809001430873
('impida', 'n') 0.009848809001430873
('sepa', 'n') 0.009848809001430873
('alemania', 'n') 0.00984880897987455
('espalda', 'n') 0.00984880897987455
('orbe', 'n') 0.00984880897987455
('zavala', 'n') 0.00984880897987455
('invadidas', 'n') 0.009848808979874548
('lactosa', 'n') 0.009848808979874548
('oposición', 'n') 0.009848808979874548
('virtud', 'n') 0.009848808979874548
('pib', 'n') 0.009848808757202402
('etapa', 'n') 0.009848808344347624
('castellano', 'n') 0.00984880623555104
('organismo', 'n') 0.00984880492415028
('evolución', 'n') 0.009848804176372785
('proporción', 'n') 0.009848804123030769
('moratoria', 'n') 0.009848803307824618
