('d�lar', 'n') 0.9999999999999998
('extremo', 'n') 0.09496714704969828
('promedio', 'n') 0.09401267913629437
('mill�n', 'n') 0.09268402267572663
('acusaci�n', 'n') 0.09231861823449955
('ser', 'n') 0.09231861823449955
('deuda', 'n') 0.09185117918925864
('pa�s', 'n') 0.09154377534841769
('situaci�n', 'n') 0.0914767383661623
('rendimiento', 'n') 0.09074425108007846
('m�xico', 'n') 0.08855840617096022
('mercado', 'n') 0.08841393408615307
('t�rmino', 'n') 0.08794080883518106
('n�mina', 'n') 0.08703882797784893
('sustituci�n', 'n') 0.08703882797784893
('tesoro', 'n') 0.08703882797784893
('vuelta', 'n') 0.08703882797784893
('�ndice', 'n') 0.08703882797784893
('abuelo', 'n') 0.08703882797784891
('afirmaci�n', 'n') 0.08703882797784891
('altar', 'n') 0.08703882797784891
('alt�simo', 'n') 0.08703882797784891
('antimigratoria', 'n') 0.08703882797784891
('atractivo', 'n') 0.08703882797784891
('ayuno', 'n') 0.08703882797784891
('buscaremos', 'n') 0.08703882797784891
('capitaliza', 'n') 0.08703882797784891
('capitalizando', 'n') 0.08703882797784891
('contribuya', 'n') 0.08703882797784891
('cortina', 'n') 0.08703882797784891
('costa', 'n') 0.08703882797784891
('cuesta', 'n') 0.08703882797784891
('c�lculo', 'n') 0.08703882797784891
('debilidad', 'n') 0.08703882797784891
('desfase', 'n') 0.08703882797784891
('deshabitadas', 'n') 0.08703882797784891
('divisa', 'n') 0.08703882797784891
('dominando', 'n') 0.08703882797784891
('dr�stica', 'n') 0.08703882797784891
('encerrados', 'n') 0.08703882797784891
('entusiasmo', 'n') 0.08703882797784891
('especulativos', 'n') 0.08703882797784891
('estancia', 'n') 0.08703882797784891
('estrago', 'n') 0.08703882797784891
('exportadores', 'n') 0.08703882797784891
('fundamentado', 'n') 0.08703882797784891
('hist�rica', 'n') 0.08703882797784891
('imprecisas', 'n') 0.08703882797784891
('inflacionario', 'n') 0.08703882797784891
('insolvencia', 'n') 0.08703882797784891
('instrumentadas', 'n') 0.08703882797784891
('jurando', 'n') 0.08703882797784891
('ladr�n', 'n') 0.08703882797784891
('liberaci�n', 'n') 0.08703882797784891
('manifestaci�n', 'n') 0.08703882797784891
('marginado', 'n') 0.08703882797784891
('morada', 'n') 0.08703882797784891
('multitud', 'n') 0.08703882797784891
('padr�n', 'n') 0.08703882797784891
('par�lisis', 'n') 0.08703882797784891
('predecirla', 'n') 0.08703882797784891
('predomina', 'n') 0.08703882797784891
('primarias', 'n') 0.08703882797784891
('quincena', 'n') 0.08703882797784891
('recorte', 'n') 0.08703882797784891
('reestructurado', 'n') 0.08703882797784891
('regal�a', 'n') 0.08703882797784891
('seno', 'n') 0.08703882797784891
('siento', 'n') 0.08703882797784891
('suma', 'n') 0.08703882797784891
('traduzca', 'n') 0.08703882797784891
('�ptima', 'n') 0.08703882797784891
('mitad', 'n') 0.08585457105482137
('costo', 'n') 0.08447074377505626
('d�ficit', 'n') 0.0844400661841498
('modificaci�n', 'n') 0.0844400661841498
('emisi�n', 'n') 0.08257228238447704
('especialista', 'n') 0.08206099398622181
('trabajador', 'n') 0.0819195268306843
('dato', 'n') 0.08187924183841257
('caso', 'n') 0.0800780460340993
('problema', 'n') 0.07948901930986829
('resultado', 'n') 0.07884165279854434
('condici�n', 'n') 0.0787295821622217
('organismo', 'n') 0.07865665062071157
('aguirre', 'n') 0.07784989441615228
('disminuci�n', 'n') 0.07784989441615228
('efecto', 'n') 0.07784989441615228
('efervescencia', 'n') 0.07784989441615228
('india', 'n') 0.07784989441615228
('jubilado', 'n') 0.07784989441615228
('liquidados', 'n') 0.07784989441615228
('retroactivo', 'n') 0.07784989441615228
('sumario', 'n') 0.07784989441615228
('valor', 'n') 0.07690239589651063
('lugar', 'n') 0.07676103107863971
('casa', 'n') 0.07617550741785384
('relaci�n', 'n') 0.07575757575757575
('responsabilidad', 'n') 0.07575757575757575
('estima', 'n') 0.07537783614444091
('fen�meno', 'n') 0.07537783614444091
('influencia', 'n') 0.07537783614444091
('larios', 'n') 0.07537783614444091
('legislador', 'n') 0.07537783614444091
('levantamiento', 'n') 0.07537783614444091
('obligaci�n', 'n') 0.07537783614444091
('rubin', 'n') 0.07537783614444091
('semestre', 'n') 0.07537783614444091
('ejecutivo', 'n') 0.0746351792533165
('motivo', 'n') 0.0746351792533165
('hect�rea', 'n') 0.07410575972347727
('control', 'n') 0.074019565682974
('materia', 'n') 0.07278552445685778
('papel', 'n') 0.07259540086406277
('sufrimiento', 'n') 0.07242068243779014
('ca�da', 'n') 0.0715454758790178
('abandono', 'n') 0.07106690545187014
('demanda', 'n') 0.07006490497453707
('fantasma', 'n') 0.06978631577988531
('secreto', 'n') 0.06978631577988531
('compromiso', 'n') 0.06968683416725754
('playa', 'n') 0.06968683416725754
('unidad', 'n') 0.06963106238227913
('crisis', 'n') 0.06923896367587466
('�rea', 'n') 0.06881023532039753
('analista', 'n') 0.06827887419989188
('gobierno', 'n') 0.06796820208506692
('consumo', 'n') 0.0676968662049936
('grupo', 'n') 0.06741998624632421
('medio', 'n') 0.06741998624632421
('reflexi�n', 'n') 0.06741998624632421
('sitio', 'n') 0.06741998624632421
('leche', 'n') 0.0671424549866207
('grasa', 'n') 0.06636648415023735
('instituto', 'n') 0.0657951694959769
('insumos', 'n') 0.0657951694959769
('salario', 'n') 0.0657372256983028
('chapa', 'n') 0.06527912098338669
('incumplimiento', 'n') 0.06487491201346024
('venta', 'n') 0.06458268119433067
('fondo', 'n') 0.06451747176156364
('confianza', 'n') 0.06356417261637282
('futuro', 'n') 0.06356417261637282
('oficina', 'n') 0.06356417261637282
('presi�n', 'n') 0.06356417261637282
('embargo', 'n') 0.06330096580207194
('banco', 'n') 0.06292014209714507
('banca', 'n') 0.06284158749807237
('banquero', 'n') 0.06253053994807224
('circunstancia', 'n') 0.06253053994807224
('respecto', 'n') 0.062418778393235924
('base', 'n') 0.062183542270386374
('plazo', 'n') 0.06154574548966637
('af�n', 'n') 0.06154574548966636
('alimentaci�n', 'n') 0.06154574548966636
('distintivo', 'n') 0.06154574548966636
('docto', 'n') 0.06154574548966636
('encarecimiento', 'n') 0.06154574548966636
('espa�a', 'n') 0.06154574548966636
('fuego', 'n') 0.06154574548966636
('minuto', 'n') 0.06154574548966636
('modo', 'n') 0.06154574548966636
('pagados', 'n') 0.06154574548966636
('precepto', 'n') 0.06154574548966636
('precisi�n', 'n') 0.06154574548966636
('reactivaci�n', 'n') 0.06154574548966636
('recinto', 'n') 0.06154574548966636
('ritmo', 'n') 0.06154574548966636
('ut�pica', 'n') 0.06154574548966636
('villegas', 'n') 0.06154574548966636
('producci�n', 'n') 0.061122745662804616
('quiebra', 'n') 0.06035056869815844
('producto', 'n') 0.06020601623022926
('legislativa', 'n') 0.05990422978731538
('participaci�n', 'n') 0.05970814340265321
('funcionario', 'n') 0.05951397006436156
('pib', 'n') 0.05922242120989178
('negociaci�n', 'n') 0.05917770816372139
('cartera', 'n') 0.05904718662166627
('bolsa', 'n') 0.05875579936119559
('cifra', 'n') 0.058681565851627523
('actualidad', 'n') 0.05838742081211422
('figura', 'n') 0.05838742081211422
('voz', 'n') 0.05838742081211422
('fin', 'n') 0.05835765409041809
('embate', 'n') 0.058025885318565944
('gasolina', 'n') 0.058025885318565944
('productividad', 'n') 0.058025885318565944
('r�ditos', 'n') 0.058025885318565944
('tope', 'n') 0.058025885318565944
('mano', 'n') 0.05782951966127113
('mayor�a', 'n') 0.057670983608159435
('sociedad', 'n') 0.057670983608159435
('desempleo', 'n') 0.05764287198883955
('capital', 'n') 0.057315469286888805
('partido', 'n') 0.057315469286888805
('grado', 'n') 0.05723638070321424
('liquidaci�n', 'n') 0.0571437901103118
('semana', 'n') 0.056241212996900235
('cosa', 'n') 0.05618332187193684
('acci�n', 'n') 0.05583543418106733
('sistema', 'n') 0.055749467333806056
('etapa', 'n') 0.05574946733380604
('ernesto', 'n') 0.05567022142689041
('asueto', 'n') 0.05504818825631802
('hormiga', 'n') 0.05504818825631802
('racha', 'n') 0.05504818825631802
('comunicaci�n', 'n') 0.0538642178554906
('pol�tica', 'n') 0.053774463779608594
('balanza', 'n') 0.05330017908890261
('concepto', 'n') 0.05330017908890261
('diferencia', 'n') 0.05330017908890261
('elemento', 'n') 0.05309318732018988
('forma', 'n') 0.052753496133999746
('fisco', 'n') 0.05248638810814779
('manejo', 'n') 0.05248638810814779
('competencia', 'n') 0.05239121778849429
('internet', 'n') 0.052303826205070646
('esfuerzo', 'n') 0.05222329678670935
('fraude', 'n') 0.05222329678670935
('indemnizaciones', 'n') 0.05222329678670935
('d�a', 'n') 0.052053602441096955
('plan', 'n') 0.05189992961076819
('cuesti�n', 'n') 0.05133270023393454
('informe', 'n') 0.05120915564991892
('proporci�n', 'n') 0.05120915564991892
('aplicaci�n', 'n') 0.0509356213856705
('camioneta', 'n') 0.050251890762960605
('cat�strofe', 'n') 0.050251890762960605
('experiencia', 'n') 0.050251890762960605
('frontera', 'n') 0.050251890762960605
('lechera', 'n') 0.050251890762960605
('norma', 'n') 0.050251890762960605
('padierna', 'n') 0.050251890762960605
('paz', 'n') 0.050251890762960605
('realizando', 'n') 0.050251890762960605
('significativos', 'n') 0.050251890762960605
('sindicalismo', 'n') 0.050251890762960605
('industria', 'n') 0.04956815970966097
('periodo', 'n') 0.04927603299909021
('pena', 'n') 0.04875149494180871
('poder', 'n') 0.04858127067234718
('fecha', 'n') 0.048488113787642693
('cobertura', 'n') 0.04828045495852676
('cristo', 'n') 0.04828045495852676
('filosof�a', 'n') 0.04828045495852676
('productivas', 'n') 0.04828045495852676
('planta', 'n') 0.04787301767423468
('instituci�n', 'n') 0.04776876271679271
('prueba', 'n') 0.047377936967913425
('alianza', 'n') 0.04689790496105418
('retiro', 'n') 0.04689790496105418
('proyecto', 'n') 0.04670993664969138
('nacional', 'n') 0.046657709246321184
('autoridad', 'n') 0.04652421051992354
('pregunta', 'n') 0.046159309117249775
('ingreso', 'n') 0.046130486567379045
('tiempo', 'n') 0.04592558959462932
('compa�ero', 'n') 0.04545454545454545
('tarea', 'n') 0.04545454545454545
('antorcha', 'n') 0.04494665749754947
('programaci�n', 'n') 0.04494665749754947
('seguridad', 'n') 0.04488684821290883
('baja', 'n') 0.04478110755198991
('b�squeda', 'n') 0.04478110755198991
('exportaci�n', 'n') 0.04478110755198991
('opci�n', 'n') 0.04478110755198991
('perspectiva', 'n') 0.04478110755198991
('cierre', 'n') 0.044136741475237475
('gramo', 'n') 0.044136741475237475
('camino', 'n') 0.043738656756789826
('acertadas', 'n') 0.043519413988924456
('acreditadas', 'n') 0.043519413988924456
('acreditado', 'n') 0.043519413988924456
('actualizada', 'n') 0.043519413988924456
('adjudicarlas', 'n') 0.043519413988924456
('agraviado', 'n') 0.043519413988924456
('agricultor', 'n') 0.043519413988924456
('agropecuaria', 'n') 0.043519413988924456
('agropecuario', 'n') 0.043519413988924456
('aislados', 'n') 0.043519413988924456
('alberto', 'n') 0.043519413988924456
('aliado', 'n') 0.043519413988924456
('altarcito', 'n') 0.043519413988924456
('alteraci�n', 'n') 0.043519413988924456
('alterando', 'n') 0.043519413988924456
('ambicioso', 'n') 0.043519413988924456
('amortizaci�n', 'n') 0.043519413988924456
('anillo', 'n') 0.043519413988924456
('anuencia', 'n') 0.043519413988924456
('aparta', 'n') 0.043519413988924456
('apoderamientos', 'n') 0.043519413988924456
('aporreado', 'n') 0.043519413988924456
('apresado', 'n') 0.043519413988924456
('apuntadas', 'n') 0.043519413988924456
('ara', 'n') 0.043519413988924456
('arca', 'n') 0.043519413988924456
('armon�a', 'n') 0.043519413988924456
('arqueol�gico', 'n') 0.043519413988924456
('arribo', 'n') 0.043519413988924456
('artima�a', 'n') 0.043519413988924456
('asalariada', 'n') 0.043519413988924456
('asfixia', 'n') 0.043519413988924456
('asienta', 'n') 0.043519413988924456
('asistencia', 'n') 0.043519413988924456
('atenci�n', 'n') 0.043519413988924456
('atracarlos', 'n') 0.043519413988924456
('atrayendo', 'n') 0.043519413988924456
('auditoria', 'n') 0.043519413988924456
('austria', 'n') 0.043519413988924456
('autopista', 'n') 0.043519413988924456
('aviso', 'n') 0.043519413988924456
('ayudarlo', 'n') 0.043519413988924456
('bal�n', 'n') 0.043519413988924456
('banxico', 'n') 0.043519413988924456
('beneficiada', 'n') 0.043519413988924456
('blemas', 'n') 0.043519413988924456
('bodrios', 'n') 0.043519413988924456
('bolseros', 'n') 0.043519413988924456
('borrego', 'n') 0.043519413988924456
('bot�n', 'n') 0.043519413988924456
('cabeza', 'n') 0.043519413988924456
('calado', 'n') 0.043519413988924456
('canadiense', 'n') 0.043519413988924456
('capitalizarlos', 'n') 0.043519413988924456
('castigados', 'n') 0.043519413988924456
('catalizador', 'n') 0.043519413988924456
('causante', 'n') 0.043519413988924456
('cautivo', 'n') 0.043519413988924456
('chacona', 'n') 0.043519413988924456
('clasificaci�n', 'n') 0.043519413988924456
('cl�rigo', 'n') 0.043519413988924456
('co', 'n') 0.043519413988924456
('colgadas', 'n') 0.043519413988924456
('colosista', 'n') 0.043519413988924456
('combustible', 'n') 0.043519413988924456
('comercializaci�n', 'n') 0.043519413988924456
('compacto', 'n') 0.043519413988924456
('compartiendo', 'n') 0.043519413988924456
('comprando', 'n') 0.043519413988924456
('comprara', 'n') 0.043519413988924456
('comprobadas', 'n') 0.043519413988924456
('concecuencia', 'n') 0.043519413988924456
('concluidas', 'n') 0.043519413988924456
('concurridas', 'n') 0.043519413988924456
('conectarlo', 'n') 0.043519413988924456
('conflictiva', 'n') 0.043519413988924456
('confusos', 'n') 0.043519413988924456
('conseguirlos', 'n') 0.043519413988924456
('considerarlo', 'n') 0.043519413988924456
('constantino', 'n') 0.043519413988924456
('contacto', 'n') 0.043519413988924456
('contrajera', 'n') 0.043519413988924456
('contralor�a', 'n') 0.043519413988924456
('controlada', 'n') 0.043519413988924456
('convenga', 'n') 0.043519413988924456
('corredur�a', 'n') 0.043519413988924456
('corrija', 'n') 0.043519413988924456
('crediticia', 'n') 0.043519413988924456
('creencia', 'n') 0.043519413988924456
('cre�mos', 'n') 0.043519413988924456
('cub�culos', 'n') 0.043519413988924456
('custodios', 'n') 0.043519413988924456
('c�mplice', 'n') 0.043519413988924456
('c�rdoba', 'n') 0.043519413988924456
('darlas', 'n') 0.043519413988924456
('decisi�n', 'n') 0.043519413988924456
('definitivos', 'n') 0.043519413988924456
('dejarlo', 'n') 0.043519413988924456
('demandando', 'n') 0.043519413988924456
('derivamos', 'n') 0.043519413988924456
('desahogado', 'n') 0.043519413988924456
('desarrollada', 'n') 0.043519413988924456
('desempe�aremos', 'n') 0.043519413988924456
('desierto', 'n') 0.043519413988924456
('desocupados', 'n') 0.043519413988924456
('destrozo', 'n') 0.043519413988924456
('destrucci�n', 'n') 0.043519413988924456
('detenga', 'n') 0.043519413988924456
('determinaci�n', 'n') 0.043519413988924456
('difunda', 'n') 0.043519413988924456
('difusi�n', 'n') 0.043519413988924456
('dirigidos', 'n') 0.043519413988924456
('disciplina', 'n') 0.043519413988924456
('dispositivo', 'n') 0.043519413988924456
('distorsi�n', 'n') 0.043519413988924456
('docena', 'n') 0.043519413988924456
('dominio', 'n') 0.043519413988924456
('dom�nguez', 'n') 0.043519413988924456
('dosis', 'n') 0.043519413988924456
('due�o', 'n') 0.043519413988924456
('duplicidad', 'n') 0.043519413988924456
('ecocardiogramas', 'n') 0.043519413988924456
('ecocidio', 'n') 0.043519413988924456
('encaminada', 'n') 0.043519413988924456
('encara', 'n') 0.043519413988924456
('energ�a', 'n') 0.043519413988924456
('enfermedad', 'n') 0.043519413988924456
('enfrenta', 'n') 0.043519413988924456
('enlace', 'n') 0.043519413988924456
('enlazada', 'n') 0.043519413988924456
('enriquecimiento', 'n') 0.043519413988924456
('enterraba', 'n') 0.043519413988924456
('equilibrados', 'n') 0.043519413988924456
('equivalente', 'n') 0.043519413988924456
('esclarecimiento', 'n') 0.043519413988924456
('escritas', 'n') 0.043519413988924456
('espectro', 'n') 0.043519413988924456
('espesas', 'n') 0.043519413988924456
('esponja', 'n') 0.043519413988924456
('esprimido', 'n') 0.043519413988924456
('estimando', 'n') 0.043519413988924456
('etiqueta', 'n') 0.043519413988924456
('examinemos', 'n') 0.043519413988924456
('experimento', 'n') 0.043519413988924456
('extranjero', 'n') 0.043519413988924456
('facto', 'n') 0.043519413988924456
('fastuosa', 'n') 0.043519413988924456
('fideicomiso', 'n') 0.043519413988924456
('florido', 'n') 0.043519413988924456
('fortalecido', 'n') 0.043519413988924456
('frankenstein', 'n') 0.043519413988924456
('fraudulentas', 'n') 0.043519413988924456
('fruct�fero', 'n') 0.043519413988924456
('f�sico', 'n') 0.043519413988924456
('garrido', 'n') 0.043519413988924456
('genaro', 'n') 0.043519413988924456
('geranio', 'n') 0.043519413988924456
('girados', 'n') 0.043519413988924456
('golf', 'n') 0.043519413988924456
('gr�ficas', 'n') 0.043519413988924456
('hecha', 'n') 0.043519413988924456
('herrera', 'n') 0.043519413988924456
('hom�loga', 'n') 0.043519413988924456
('honda', 'n') 0.043519413988924456
('huatulco', 'n') 0.043519413988924456
('huevo', 'n') 0.043519413988924456
('impropio', 'n') 0.043519413988924456
('incidente', 'n') 0.043519413988924456
('inclinara', 'n') 0.043519413988924456
('indicaba', 'n') 0.043519413988924456
('inestabilidad', 'n') 0.043519413988924456
('inmundas', 'n') 0.043519413988924456
('internacionalizaci�n', 'n') 0.043519413988924456
('intolerancia', 'n') 0.043519413988924456
('in�ditos', 'n') 0.043519413988924456
('jard�n', 'n') 0.043519413988924456
('kilo', 'n') 0.043519413988924456
('labriego', 'n') 0.043519413988924456
('leguleyo', 'n') 0.043519413988924456
('liberalizaci�n', 'n') 0.043519413988924456
('llorona', 'n') 0.043519413988924456
('luna', 'n') 0.043519413988924456
('l�grima', 'n') 0.043519413988924456
('madrastra', 'n') 0.043519413988924456
('madrid', 'n') 0.043519413988924456
('madurez', 'n') 0.043519413988924456
('malentendido', 'n') 0.043519413988924456
('malestar', 'n') 0.043519413988924456
('malviviendo', 'n') 0.043519413988924456
('manejadas', 'n') 0.043519413988924456
('manejando', 'n') 0.043519413988924456
('maniobra', 'n') 0.043519413988924456
('manipulados', 'n') 0.043519413988924456
('maravillosa', 'n') 0.043519413988924456
('mareo', 'n') 0.043519413988924456
('metereol�gicas', 'n') 0.043519413988924456
('ministro', 'n') 0.043519413988924456
('modificada', 'n') 0.043519413988924456
('monetarismo', 'n') 0.043519413988924456
('montoya', 'n') 0.043519413988924456
('mundial', 'n') 0.043519413988924456
('mutaciones', 'n') 0.043519413988924456
('navarro', 'n') 0.043519413988924456
('noci�n', 'n') 0.043519413988924456
('noruega', 'n') 0.043519413988924456
('nubla', 'n') 0.043519413988924456
('obligatoria', 'n') 0.043519413988924456
('omc', 'n') 0.043519413988924456
('operados', 'n') 0.043519413988924456
('org�nica', 'n') 0.043519413988924456
('originar�a', 'n') 0.043519413988924456
('pacheco', 'n') 0.043519413988924456
('paciencia', 'n') 0.043519413988924456
('pacientes', 'n') 0.043519413988924456
('pacificaci�n', 'n') 0.043519413988924456
('paisaje', 'n') 0.043519413988924456
('parados', 'n') 0.043519413988924456
('parmista', 'n') 0.043519413988924456
('partitocrazia', 'n') 0.043519413988924456
('pasillo', 'n') 0.043519413988924456
('pasteurizadoras', 'n') 0.043519413988924456
('patrimonio', 'n') 0.043519413988924456
('patrocinio', 'n') 0.043519413988924456
('pecuarios', 'n') 0.043519413988924456
('peleando', 'n') 0.043519413988924456
('perdido', 'n') 0.043519413988924456
('pesimistas', 'n') 0.043519413988924456
('piedra', 'n') 0.043519413988924456
('piel', 'n') 0.043519413988924456
('pista', 'n') 0.043519413988924456
('planteamiento', 'n') 0.043519413988924456
('poderoso', 'n') 0.043519413988924456
('policiacos', 'n') 0.043519413988924456
('popularizado', 'n') 0.043519413988924456
('porcentaje', 'n') 0.043519413988924456
('preferencia', 'n') 0.043519413988924456
('prenda', 'n') 0.043519413988924456
('preparatorias', 'n') 0.043519413988924456
('prestigio', 'n') 0.043519413988924456
('pretendiendo', 'n') 0.043519413988924456
('primario', 'n') 0.043519413988924456
('prioritarias', 'n') 0.043519413988924456
('privilegio', 'n') 0.043519413988924456
('procampo', 'n') 0.043519413988924456
('produciendo', 'n') 0.043519413988924456
('profesionalismo', 'n') 0.043519413988924456
('profundidad', 'n') 0.043519413988924456
('propongamos', 'n') 0.043519413988924456
('provisi�n', 'n') 0.043519413988924456
('querella', 'n') 0.043519413988924456
('rarotonga', 'n') 0.043519413988924456
('recomendamos', 'n') 0.043519413988924456
('redondo', 'n') 0.043519413988924456
('rentabilidad', 'n') 0.043519413988924456
('reparaci�n', 'n') 0.043519413988924456
('resolverlo', 'n') 0.043519413988924456
('restrictivo', 'n') 0.043519413988924456
('resueltos', 'n') 0.043519413988924456
('rezagos', 'n') 0.043519413988924456
('rigor', 'n') 0.043519413988924456
('rostro', 'n') 0.043519413988924456
('rubro', 'n') 0.043519413988924456
('ruptura', 'n') 0.043519413988924456
('sacudirlo', 'n') 0.043519413988924456
('sala', 'n') 0.043519413988924456
('salvaguarda', 'n') 0.043519413988924456
('secretario', 'n') 0.043519413988924456
('segregaci�n', 'n') 0.043519413988924456
('sentarnos', 'n') 0.043519413988924456
('ser�ainnsensato', 'n') 0.043519413988924456
('se�alando', 'n') 0.043519413988924456
('sistemaenancario', 'n') 0.043519413988924456
('sobrio', 'n') 0.043519413988924456
('solucionamos', 'n') 0.043519413988924456
('sorpresivo', 'n') 0.043519413988924456
('sosa', 'n') 0.043519413988924456
('subiera', 'n') 0.043519413988924456
('subsidiada', 'n') 0.043519413988924456
('subvenci�n', 'n') 0.043519413988924456
('supuestas', 'n') 0.043519413988924456
('sureste', 'n') 0.043519413988924456
('tama�o', 'n') 0.043519413988924456
('tanque', 'n') 0.043519413988924456
('televisa', 'n') 0.043519413988924456
('tlatelolco', 'n') 0.043519413988924456
('toga', 'n') 0.043519413988924456
('tragedia', 'n') 0.043519413988924456
('tranquilo', 'n') 0.043519413988924456
('trasnferencia', 'n') 0.043519413988924456
('trilog�a', 'n') 0.043519413988924456
('triunfo', 'n') 0.043519413988924456
('tutor', 'n') 0.043519413988924456
('t�o', 'n') 0.043519413988924456
('t�nica', 'n') 0.043519413988924456
('ultrapasteurizada', 'n') 0.043519413988924456
('universo', 'n') 0.043519413988924456
('vado', 'n') 0.043519413988924456
('velorio', 'n') 0.043519413988924456
('vencimientos', 'n') 0.043519413988924456
('vergonzoso', 'n') 0.043519413988924456
('verso', 'n') 0.043519413988924456
('vietnam', 'n') 0.043519413988924456
('�sto', 'n') 0.043519413988924456
('edici�n', 'n') 0.04292728552741069
('flujo', 'n') 0.04292728552741069
('persona', 'n') 0.04261351814003953
('informaci�n', 'n') 0.04244997748419138
('direcci�n', 'n') 0.042358687104367874
('cr�dito', 'n') 0.04226979154551527
('delincuencia', 'n') 0.0422200330920749
('dise�o', 'n') 0.0422200330920749
('empresario', 'n') 0.0422200330920749
('evoluci�n', 'n') 0.0422200330920749
('fracaso', 'n') 0.04181210050035453
('municipio', 'n') 0.04161251892882395
('an�lisis', 'n') 0.041318433837920436
('caracter�stica', 'n') 0.04128614119223852
('reforma', 'n') 0.04126509294147349
('ejemplo', 'n') 0.041030496993110906
('inversionistas', 'n') 0.041030496993110906
('p�rdida', 'n') 0.041030496993110906
('�mbito', 'n') 0.041030496993110906
('autob�s', 'n') 0.03993615319154359
('ciberespacio', 'n') 0.03993615319154359
('color', 'n') 0.03993615319154359
('duda', 'n') 0.03936479108111084
('idea', 'n') 0.03936479108111084
('margen', 'n') 0.03936479108111084
('poblaci�n', 'n') 0.03917053290746372
('uso', 'n') 0.03892494720807615
('administradora', 'n') 0.03892494720807614
('agudizando', 'n') 0.03892494720807614
('caf�', 'n') 0.03892494720807614
('cercan�a', 'n') 0.03892494720807614
('comparaci�n', 'n') 0.03892494720807614
('dep�sito', 'n') 0.03892494720807614
('eliminadas', 'n') 0.03892494720807614
('encamado', 'n') 0.03892494720807614
('encanto', 'n') 0.03892494720807614
('kilogramo', 'n') 0.03892494720807614
('pienso', 'n') 0.03892494720807614
('prelado', 'n') 0.03892494720807614
('repercusi�n', 'n') 0.03892494720807614
('se�al', 'n') 0.03892494720807614
('suplantado', 'n') 0.03892494720807614
('tono', 'n') 0.03892494720807614
('vencimiento', 'n') 0.03892494720807614
('desarrollo', 'n') 0.038499525175450904
('familia', 'n') 0.038499525175450904
('operaci�n', 'n') 0.038499525175450904
('cantidad', 'n') 0.03844732240543962
('vida', 'n') 0.0381690510345287
('documento', 'n') 0.03808775370892692
('beneficios', 'n') 0.037986858819879316
('liconsa', 'n') 0.037986858819879316
('piso', 'n') 0.037986858819879316
('p�rez', 'n') 0.037986858819879316
