('año', 'n') 125
('actividad', 'n') 13
('negocio', 'n') 13
('práctica', 'n') 13
('conflicto', 'n') 13
('consumo', 'n') 13
('pobreza', 'n') 13
('periodista', 'n') 13
('hombre', 'n') 13
('página', 'n') 13
('cartera', 'n') 13
('empresario', 'n') 13
('competencia', 'n') 13
('chiapas', 'n') 13
('reunión', 'n') 13
('hernández', 'n') 13
('auditoría', 'n') 13
('cosa', 'n') 13
('registro', 'n') 13
('lector', 'n') 13
('asamblea', 'n') 12
('modelo', 'n') 12
('lugar', 'n') 12
('manzana', 'n') 12
('inversión', 'n') 12
('cabo', 'n') 12
('empleo', 'n') 12
('prueba', 'n') 12
('respeto', 'n') 12
('medio', 'n') 12
('incremento', 'n') 12
('diputado', 'n') 12
('diálogo', 'n') 12
('razón', 'n') 12
('hambre', 'n') 12
('empleado', 'n') 12
('rumbo', 'n') 12
('esquema', 'n') 12
('orden', 'n') 12
('niño', 'n') 12
('estudio', 'n') 12
('plazo', 'n') 12
('mexicana', 'n') 11
('movimiento', 'n') 11
('calidad', 'n') 11
('importación', 'n') 11
('asociación', 'n') 11
('propiedad', 'n') 11
('propuesta', 'n') 11
('televisión', 'n') 11
('vía', 'n') 11
('gonzález', 'n') 11
('equipo', 'n') 11
('municipio', 'n') 11
('productor', 'n') 11
('donaldo', 'n') 11
('noticia', 'n') 11
('compañía', 'n') 11
('emisora', 'n') 11
('ahorro', 'n') 11
('gobernador', 'n') 11
('hacienda', 'n') 11
('liquidación', 'n') 11
('transporte', 'n') 11
('opinión', 'n') 11
('documento', 'n') 10
('idea', 'n') 10
('ramo', 'n') 10
('crimen', 'n') 10
('pib', 'n') 10
('primero', 'n') 10
('subsidio', 'n') 10
('policía', 'n') 10
('pasivos', 'n') 10
('operación', 'n') 10
('elemento', 'n') 10
('consecuencia', 'n') 10
('plan', 'n') 10
('suero', 'n') 10
('público', 'n') 10
('bolsa', 'n') 10
('casa', 'n') 10
('santa', 'n') 10
('violencia', 'n') 10
('quiebra', 'n') 10
('duda', 'n') 10
('facultad', 'n') 10
('término', 'n') 10
('carretera', 'n') 10
('uso', 'n') 10
('carlos', 'n') 10
('flor', 'n') 9
('zona', 'n') 9
('manejo', 'n') 9
('javier', 'n') 9
('directiva', 'n') 9
('moral', 'n') 9
('asesinato', 'n') 9
('francisco', 'n') 9
('objetivo', 'n') 9
('compromiso', 'n') 9
('grado', 'n') 9
('agua', 'n') 9
('ramírez', 'n') 9
('nación', 'n') 9
('informática', 'n') 9
('activo', 'n') 9
('periodismo', 'n') 9
('campesina', 'n') 9
('periódico', 'n') 9
('jorge', 'n') 9
('crecimiento', 'n') 9
('gasto', 'n') 9
('obligación', 'n') 9
('junto', 'n') 9
('tonelada', 'n') 9
('norte', 'n') 9
('vehículo', 'n') 9
('característica', 'n') 9
('área', 'n') 9
('desempleo', 'n') 9
('función', 'n') 9
('cámara', 'n') 9
('plana', 'n') 9
('asunto', 'n') 9
('historia', 'n') 9
('familia', 'n') 9
('víctima', 'n') 8
('hermano', 'n') 8
('cuestión', 'n') 8
('suma', 'n') 8
('verdad', 'n') 8
('campo', 'n') 8
('estabilidad', 'n') 8
('responsabilidad', 'n') 8
('presencia', 'n') 8
('ciudadano', 'n') 8
('tipo', 'n') 8
('incumplimiento', 'n') 8
('responsables', 'n') 8
('denuncia', 'n') 8
('accidente', 'n') 8
('procurador', 'n') 8
('dirección', 'n') 8
('congreso', 'n') 8
('antonio', 'n') 8
('muerte', 'n') 8
('margen', 'n') 8
('relación', 'n') 8
('posibilidad', 'n') 8
('etapa', 'n') 8
('cifra', 'n') 8
('alimento', 'n') 8
('serie', 'n') 8
('procesamiento', 'n') 8
('mensaje', 'n') 8
('baja', 'n') 8
('espacio', 'n') 8
('promedio', 'n') 8
('escenario', 'n') 8
('maría', 'n') 8
('causa', 'n') 8
('perspectiva', 'n') 8
('película', 'n') 8
('zedillo', 'n') 8
('agencia', 'n') 8
('tarjeta', 'n') 8
('vecino', 'n') 8
('monto', 'n') 8
('opción', 'n') 8
('participación', 'n') 8
('compañero', 'n') 8
('arma', 'n') 8
('latina', 'n') 8
('estrategia', 'n') 8
('voluntad', 'n') 8
('calle', 'n') 8
('aumento', 'n') 8
('investigador', 'n') 8
('edición', 'n') 8
('protesta', 'n') 8
('hecho', 'n') 8
('tarea', 'n') 8
('jefe', 'n') 8
('necesidad', 'n') 8
('exportación', 'n') 8
('jesucristo', 'n') 7
('minuto', 'n') 7
('respuesta', 'n') 7
('instituto', 'n') 7
('instalación', 'n') 7
('suprema', 'n') 7
('máquina', 'n') 7
('pregunta', 'n') 7
('riesgo', 'n') 7
('salida', 'n') 7
('banquero', 'n') 7
('hijo', 'n') 7
('constitución', 'n') 7
('tendencia', 'n') 7
('década', 'n') 7
('contrario', 'n') 7
('cierre', 'n') 7
('principio', 'n') 7
('playa', 'n') 7
('torno', 'n') 7
('fernández', 'n') 7
('dólar', 'n') 7
('gobernación', 'n') 7
('siglo', 'n') 7
('fuerza', 'n') 7
('iniciativa', 'n') 7
('indígena', 'n') 7
('california', 'n') 7
('ministerio', 'n') 7
('américa', 'n') 7
('carretero', 'n') 7
('oferta', 'n') 7
('departamento', 'n') 7
('pnud', 'n') 7
('flujo', 'n') 7
('circunstancia', 'n') 7
('garcía', 'n') 7
('índice', 'n') 7
('teléfono', 'n') 7
('grasa', 'n') 7
('maltrato', 'n') 7
('dirigencia', 'n') 7
('oficina', 'n') 7
('juicio', 'n') 7
('ejecutivo', 'n') 7
('ajuste', 'n') 7
('capitalino', 'n') 7
('fecha', 'n') 7
('error', 'n') 7
('colosismo', 'n') 7
('alianza', 'n') 7
('discusión', 'n') 7
('mario', 'n') 7
('bien', 'n') 7
('módulo', 'n') 7
('búsqueda', 'n') 7
('caída', 'n') 7
('presión', 'n') 7
('pesar', 'n') 7
('futuro', 'n') 7
('gracia', 'n') 7
('región', 'n') 6
('ley', 'n') 6
('economista', 'n') 6
('mauricio', 'n') 6
('posición', 'n') 6
('galván', 'n') 6
('resto', 'n') 6
('construcción', 'n') 6
('esfuerzo', 'n') 6
('desalojos', 'n') 6
('lucha', 'n') 6
('doctor', 'n') 6
('templo', 'n') 6
('crítica', 'n') 6
('insumos', 'n') 6
('instancia', 'n') 6
('lácteo', 'n') 6
('cuerpo', 'n') 6
('madero', 'n') 6
('motivo', 'n') 6
('éxito', 'n') 6
('confianza', 'n') 6
('acceso', 'n') 6
('proporción', 'n') 6
('definición', 'n') 6
('nueva', 'n') 6
('puestos', 'n') 6
('actitud', 'n') 6
('delito', 'n') 6
('productiva', 'n') 6
('bmv', 'n') 6
('informe', 'n') 6
('queso', 'n') 6
('pgr', 'n') 6
('diferencia', 'n') 6
('cooperación', 'n') 6
('lozano', 'n') 6
('vigilancia', 'n') 6
('ambiente', 'n') 6
('pedro', 'n') 6
('meta', 'n') 6
('comportamiento', 'n') 6
('vista', 'n') 6
('bebida', 'n') 6
('indemnizaciones', 'n') 6
('carga', 'n') 6
('destino', 'n') 6
('artículo', 'n') 6
('pri', 'n') 6
('labor', 'n') 6
('prd', 'n') 6
('oscar', 'n') 6
('propietario', 'n') 6
('moreno', 'n') 6
('corrupción', 'n') 6
('mitad', 'n') 6
('eduardo', 'n') 6
('declaración', 'n') 6
('analista', 'n') 6
('herramienta', 'n') 6
('gerente', 'n') 6
('cargo', 'n') 6
('agrario', 'n') 6
('domingo', 'n') 5
('muestra', 'n') 5
('fraude', 'n') 5
('retiro', 'n') 5
('teatro', 'n') 5
('seguimiento', 'n') 5
('ricardo', 'n') 5
('disminución', 'n') 5
('estación', 'n') 5
('chiapaneco', 'n') 5
('queja', 'n') 5
('alvarez', 'n') 5
('conducta', 'n') 5
('lechera', 'n') 5
('época', 'n') 5
('panista', 'n') 5
('solicitud', 'n') 5
('barco', 'n') 5
('guerra', 'n') 5
('representantes', 'n') 5
('sequía', 'n') 5
('consumidor', 'n') 5
('tratado', 'n') 5
('pie', 'n') 5
('aspecto', 'n') 5
('rendimiento', 'n') 5
('sur', 'n') 5
('juan', 'n') 5
('balanza', 'n') 5
('rico', 'n') 5
('marcha', 'n') 5
('cuenta', 'n') 5
('italia', 'n') 5
('auxilio', 'n') 5
('voz', 'n') 5
('procuraduría', 'n') 5
('oportunidad', 'n') 5
('requisito', 'n') 5
('reducción', 'n') 5
('conclusión', 'n') 5
('marco', 'n') 5
('efecto', 'n') 5
('paso', 'n') 5
('perversa', 'n') 5
('puerta', 'n') 5
('par', 'n') 5
('correo', 'n') 5
('voto', 'n') 5
('amigo', 'n') 5
('señal', 'n') 5
('importancia', 'n') 5
('hambruna', 'n') 5
('agro', 'n') 5
('entrada', 'n') 5
('clase', 'n') 5
('avance', 'n') 5
('mujer', 'n') 5
('rescate', 'n') 5
('ruta', 'n') 5
('pérez', 'n') 5
('grano', 'n') 5
('enfrentamiento', 'n') 5
('trámite', 'n') 5
('irregularidad', 'n') 5
('felipe', 'n') 5
('libertad', 'n') 5
('concepto', 'n') 5
('actualidad', 'n') 5
('inmigración', 'n') 5
('integrante', 'n') 5
('desequilibrios', 'n') 5
('misión', 'n') 5
('fomento', 'n') 5
('roberto', 'n') 5
('miembro', 'n') 5
('reestructuración', 'n') 5
('velocidad', 'n') 5
('apertura', 'n') 5
('palma', 'n') 5
('impuesto', 'n') 5
('autor', 'n') 5
('piso', 'n') 5
('figura', 'n') 5
('fracaso', 'n') 5
('democracia', 'n') 5
('firma', 'n') 5
('carta', 'n') 5
('régimen', 'n') 5
('manuel', 'n') 5
('héctor', 'n') 5
('alza', 'n') 5
('entidad', 'n') 5
('radio', 'n') 5
('beneficios', 'n') 5
('extremo', 'n') 5
('toma', 'n') 4
('reclusorio', 'n') 4
('tribunal', 'n') 4
('naturaleza', 'n') 4
('díaz', 'n') 4
('ernesto', 'n') 4
('capacitación', 'n') 4
('educación', 'n') 4
('moratoria', 'n') 4
('legislativa', 'n') 4
('delincuencia', 'n') 4
('intención', 'n') 4
('independientes', 'n') 4
('regreso', 'n') 4
('déficit', 'n') 4
('gramo', 'n') 4
('conocimiento', 'n') 4
('billete', 'n') 4
('guerrero', 'n') 4
('obispo', 'n') 4
('sustento', 'n') 4
('cómputo', 'n') 4
('cajero', 'n') 4
('universidad', 'n') 4
('tortilla', 'n') 4
('borja', 'n') 4
('bonos', 'n') 4
('carrera', 'n') 4
('julio', 'n') 4
('inversionistas', 'n') 4
('evolución', 'n') 4
('modificación', 'n') 4
('pérdida', 'n') 4
('convenio', 'n') 4
('angel', 'n') 4
('lara', 'n') 4
('carácter', 'n') 4
('astronauta', 'n') 4
('agrupación', 'n') 4
('florida', 'n') 4
('plática', 'n') 4
('pretexto', 'n') 4
('protección', 'n') 4
('blanco', 'n') 4
('tesis', 'n') 4
('contrato', 'n') 4
('fuga', 'n') 4
('ámbito', 'n') 4
('campaña', 'n') 4
('cultura', 'n') 4
('liconsa', 'n') 4
('origen', 'n') 4
('texto', 'n') 4
('millonario', 'n') 4
('lista', 'n') 4
('nave', 'n') 4
('combate', 'n') 4
('méndez', 'n') 4
('puesto', 'n') 4
('diario', 'n') 4
('distribución', 'n') 4
('ventura', 'n') 4
('jiménez', 'n') 4
('ciberespacio', 'n') 4
('roma', 'n') 4
('multimedia', 'n') 4
('capitalinos', 'n') 4
('ejército', 'n') 4
('delincuente', 'n') 4
('pasión', 'n') 4
('aburto', 'n') 4
('división', 'n') 4
('java', 'n') 4
('baranda', 'n') 4
('arreglo', 'n') 4
('viaje', 'n') 4
('mediano', 'n') 4
('especie', 'n') 4
('chapa', 'n') 4
('corella', 'n') 4
('eficacia', 'n') 4
('tarde', 'n') 4
('cuidado', 'n') 4
('aniversario', 'n') 4
('canal', 'n') 4
('agrarios', 'n') 4
('divisa', 'n') 4
('propósito', 'n') 4
('libro', 'n') 4
('temporada', 'n') 4
('candidato', 'n') 4
('degradación', 'n') 4
('ayuda', 'n') 4
('rosado', 'n') 4
('garantía', 'n') 4
('impulso', 'n') 4
('daño', 'n') 4
('pasatiempo', 'n') 4
('superficie', 'n') 4
('procedimiento', 'n') 4
('material', 'n') 4
('espinosa', 'n') 4
('esquina', 'n') 4
('turismo', 'n') 4
('hollywood', 'n') 4
('creación', 'n') 4
('moneda', 'n') 4
('puente', 'n') 4
('proteína', 'n') 4
('corazón', 'n') 4
('vuelo', 'n') 4
('generación', 'n') 4
('polvo', 'n') 4
('sindicatura', 'n') 4
('reacción', 'n') 4
('sesión', 'n') 4
('norberto', 'n') 4
('pena', 'n') 4
('cero', 'n') 4
('palabra', 'n') 4
('representación', 'n') 4
('alcayaga', 'n') 4
('obra', 'n') 4
('autobús', 'n') 4
('arroba', 'n') 4
('disposición', 'n') 4
('atención', 'n') 4
('lenguaje', 'n') 4
('natalio', 'n') 4
('micro', 'n') 4
('color', 'n') 4
('colosistas', 'n') 4
('padre', 'n') 4
('estricto', 'n') 4
('corriente', 'n') 4
('inicio', 'n') 4
('arzobispo', 'n') 4
('junta', 'n') 4
('río', 'n') 4
('alvaro', 'n') 4
('diseño', 'n') 4
('presupuesto', 'n') 4
('presidencia', 'n') 4
('reto', 'n') 4
('equilibrio', 'n') 4
('comentario', 'n') 4
('especialista', 'n') 4
('patrulla', 'n') 4
('castellano', 'n') 4
('quedarnos', 'n') 3
('volumen', 'n') 3
('sagrado', 'n') 3
('fenómeno', 'n') 3
('arrendadora', 'n') 3
('preguntarnos', 'n') 3
('factor', 'n') 3
('finanzas', 'n') 3
('garduño', 'n') 3
('desperdicio', 'n') 3
('modifica', 'n') 3
('internado', 'n') 3
('anomalía', 'n') 3
('cobertura', 'n') 3
('hogar', 'n') 3
('productivas', 'n') 3
('significativos', 'n') 3
('encabezados', 'n') 3
('engaño', 'n') 3
('magaña', 'n') 3
('don', 'n') 3
('legislador', 'n') 3
('alemán', 'n') 3
('enfermo', 'n') 3
('cine', 'n') 3
('madre', 'n') 3
('telefónica', 'n') 3
('senador', 'n') 3
('impacto', 'n') 3
('comunidad', 'n') 3
('jalisco', 'n') 3
('existencia', 'n') 3
('provocando', 'n') 3
('afuera', 'n') 3
('consulta', 'n') 3
('senado', 'n') 3
('conspiración', 'n') 3
('pablo', 'n') 3
('mendoza', 'n') 3
('socioeconómicos', 'n') 3
('recesión', 'n') 3
('amenaza', 'n') 3
('desastre', 'n') 3
('afiliados', 'n') 3
('frontera', 'n') 3
('privado', 'n') 3
('prófugo', 'n') 3
('tenencia', 'n') 3
('fallo', 'n') 3
('secreto', 'n') 3
('china', 'n') 3
('cristo', 'n') 3
('láctea', 'n') 3
('maíz', 'n') 3
('utilización', 'n') 3
('sitio', 'n') 3
('jornada', 'n') 3
('escasez', 'n') 3
('reconocimiento', 'n') 3
('experiencia', 'n') 3
('cardenista', 'n') 3
('representante', 'n') 3
('juez', 'n') 3
('víctor', 'n') 3
('equivalente', 'n') 3
('norteamérica', 'n') 3
('peligro', 'n') 3
('rodolfo', 'n') 3
('alerta', 'n') 3
('intento', 'n') 3
('límite', 'n') 3
('vocero', 'n') 3
('dolor', 'n') 3
('chirinos', 'n') 3
('anuncio', 'n') 3
('central', 'n') 3
('software', 'n') 3
('oficio', 'n') 3
('suerte', 'n') 3
('arquitecto', 'n') 3
('presario', 'n') 3
('perredista', 'n') 3
('orientación', 'n') 3
('oxígeno', 'n') 3
('scalfaro', 'n') 3
('expansión', 'n') 3
('camioneta', 'n') 3
('muñoz', 'n') 3
('primaria', 'n') 3
('vacación', 'n') 3
('acto', 'n') 3
('hidalgo', 'n') 3
('leyes', 'n') 3
('desesperación', 'n') 3
('realizando', 'n') 3
('operativo', 'n') 3
('usuario', 'n') 3
('comercio', 'n') 3
('actuación', 'n') 3
('noticioso', 'n') 3
('rosa', 'n') 3
('convocatoria', 'n') 3
('verificación', 'n') 3
('fax', 'n') 3
('contratiempo', 'n') 3
('referente', 'n') 3
('noche', 'n') 3
('velázquez', 'n') 3
('hambrientos', 'n') 3
('devaluación', 'n') 3
('avión', 'n') 3
('félix', 'n') 3
('cotización', 'n') 3
('obrero', 'n') 3
('urgencia', 'n') 3
('rica', 'n') 3
('operador', 'n') 3
('éxodo', 'n') 3
('funcionamiento', 'n') 3
('fuente', 'n') 3
('repunte', 'n') 3
('prepotencia', 'n') 3
('curso', 'n') 3
('colectivo', 'n') 3
('terrorismo', 'n') 3
('compuertas', 'n') 3
('muchísimas', 'n') 3
('socio', 'n') 3
('evidencia', 'n') 3
('pedazo', 'n') 3
('ronda', 'n') 3
('paz', 'n') 3
('federico', 'n') 3
('rivera', 'n') 3
('acreedor', 'n') 3
('vicepresidente', 'n') 3
('subsidiados', 'n') 3
('secretas', 'n') 3
('edad', 'n') 3
('cancún', 'n') 3
('sufrimiento', 'n') 3
('objeto', 'n') 3
('rango', 'n') 3
('onu', 'n') 3
('delegación', 'n') 3
('influencia', 'n') 3
('sierra', 'n') 3
('solución', 'n') 3
('clima', 'n') 3
('desgracia', 'n') 3
('esperanza', 'n') 3
('alterno', 'n') 3
('avenida', 'n') 3
('arco', 'n') 3
('retraso', 'n') 3
('guillermo', 'n') 3
('catástrofe', 'n') 3
('regla', 'n') 3
('programación', 'n') 3
('oropeza', 'n') 3
('ciclo', 'n') 3
('videoconferencia', 'n') 3
('vergüenza', 'n') 3
('interactivo', 'n') 3
('habitante', 'n') 3
('federalismo', 'n') 3
('técnico', 'n') 3
('contribuyente', 'n') 3
('asesino', 'n') 3
('estructura', 'n') 3
('moda', 'n') 3
('estima', 'n') 3
('lechero', 'n') 3
('arquitectura', 'n') 3
('neumonía', 'n') 3
('poza', 'n') 3
('democrática', 'n') 3
('cheque', 'n') 3
('alfredo', 'n') 3
('larios', 'n') 3
('fantasma', 'n') 3
('funcionando', 'n') 3
('homicidio', 'n') 3
('desempleados', 'n') 3
('alto', 'n') 3
('sergio', 'n') 3
('territorio', 'n') 3
('bla', 'n') 3
('trampa', 'n') 3
('frecuencia', 'n') 3
('coordinador', 'n') 3
('filosofía', 'n') 3
('veredicto', 'n') 3
('tijuana', 'n') 3
('final', 'n') 3
('hospital', 'n') 3
('sueldo', 'n') 3
('método', 'n') 3
('amparo', 'n') 3
('borde', 'n') 3
('patria', 'n') 3
('procesión', 'n') 3
('ofrecimiento', 'n') 3
('continuación', 'n') 3
('lujo', 'n') 3
('consideración', 'n') 3
('innecesarios', 'n') 3
('ojo', 'n') 3
('corzo', 'n') 3
('directivas', 'n') 3
('administradora', 'n') 3
('kennedy', 'n') 3
('expectativa', 'n') 3
('versión', 'n') 3
('complejo', 'n') 3
('argumento', 'n') 3
('europa', 'n') 3
('vicio', 'n') 3
('abuso', 'n') 3
('hipótesis', 'n') 3
('parmistas', 'n') 3
('presentación', 'n') 3
('ejercicio', 'n') 3
('vigencia', 'n') 3
('hoja', 'n') 3
('sindicalismo', 'n') 3
('acapulco', 'n') 3
('iglesia', 'n') 3
('chico', 'n') 3
('archivo', 'n') 3
('ocasión', 'n') 3
('miseria', 'n') 3
('dicho', 'n') 3
('delia', 'n') 3
('norma', 'n') 3
('rubin', 'n') 3
('caribe', 'n') 3
('huelga', 'n') 3
('riqueza', 'n') 3
('previsión', 'n') 3
('drama', 'n') 3
('expresión', 'n') 3
('bancaria', 'n') 3
('hermana', 'n') 2
('llave', 'n') 2
('calderón', 'n') 2
('estancamiento', 'n') 2
('monarquía', 'n') 2
('terminados', 'n') 2
('captación', 'n') 2
('simpatía', 'n') 2
('turista', 'n') 2
('presidenta', 'n') 2
('tripulación', 'n') 2
('derecha', 'n') 2
('sospecha', 'n') 2
('mejoría', 'n') 2
('nómina', 'n') 2
('formatos', 'n') 2
('azcapotzalco', 'n') 2
('convergencia', 'n') 2
('telegrama', 'n') 2
('probabilidad', 'n') 2
('explicación', 'n') 2
('ultima', 'n') 2
('alcance', 'n') 2
('hueco', 'n') 2
('privatización', 'n') 2
('chiapaneca', 'n') 2
('predicción', 'n') 2
('préstamo', 'n') 2
('ingeniería', 'n') 2
('abasto', 'n') 2
('cinescopios', 'n') 2
('provocaría', 'n') 2
('automático', 'n') 2
('monitoreo', 'n') 2
('restrictiva', 'n') 2
('distintivo', 'n') 2
('instante', 'n') 2
('almoloya', 'n') 2
('monopolio', 'n') 2
('callista', 'n') 2
('mercadeo', 'n') 2
('apegadas', 'n') 2
('motopatrullas', 'n') 2
('vestido', 'n') 2
('deseamos', 'n') 2
('tapachula', 'n') 2
('tránsito', 'n') 2
('dimensión', 'n') 2
('dama', 'n') 2
('liquidez', 'n') 2
('espalda', 'n') 2
('deterioro', 'n') 2
('plano', 'n') 2
('reyes', 'n') 2
('fortuna', 'n') 2
('pluralidad', 'n') 2
('lácteas', 'n') 2
('linchamiento', 'n') 2
('pandilla', 'n') 2
('cláusula', 'n') 2
('encuentro', 'n') 2
('jaime', 'n') 2
('enemigo', 'n') 2
('derivado', 'n') 2
('obstáculo', 'n') 2
('convencidos', 'n') 2
('objetivas', 'n') 2
('integración', 'n') 2
('tribuna', 'n') 2
('plataforma', 'n') 2
('apapacho', 'n') 2
('titular', 'n') 2
('intensifica', 'n') 2
('intermediario', 'n') 2
('automóvil', 'n') 2
('feria', 'n') 2
('revolución', 'n') 2
('magdalena', 'n') 2
('cultivo', 'n') 2
('observado', 'n') 2
('precisión', 'n') 2
('pragma', 'n') 2
('gasolina', 'n') 2
('metafísicas', 'n') 2
('especialidad', 'n') 2
('rey', 'n') 2
('adeudos', 'n') 2
('injusticia', 'n') 2
('respiro', 'n') 2
('inmigrantes', 'n') 2
('virginia', 'n') 2
('portavoz', 'n') 2
('sustitución', 'n') 2
('marcos', 'n') 2
('beneficio', 'n') 2
('supremo', 'n') 2
('boca', 'n') 2
('puerto', 'n') 2
('postura', 'n') 2
('auspiciado', 'n') 2
('responsable', 'n') 2
('doctora', 'n') 2
('acaso', 'n') 2
('roblero', 'n') 2
('españa', 'n') 2
('trato', 'n') 2
('signo', 'n') 2
('licenciado', 'n') 2
('totalidad', 'n') 2
('inseguridad', 'n') 2
('cama', 'n') 2
('emilio', 'n') 2
('virtud', 'n') 2
('condena', 'n') 2
('parámetro', 'n') 2
('réditos', 'n') 2
('sobrevivencia', 'n') 2
('movilización', 'n') 2
('prado', 'n') 2
('ilusión', 'n') 2
('tesoro', 'n') 2
('zapato', 'n') 2
('macroeconómico', 'n') 2
('hormiga', 'n') 2
('coreano', 'n') 2
('ayala', 'n') 2
('herido', 'n') 2
('retroceso', 'n') 2
('fisco', 'n') 2
('invadidos', 'n') 2
('grito', 'n') 2
('ser', 'n') 2
('alemania', 'n') 2
('sacrificio', 'n') 2
('antorcha', 'n') 2
('revela', 'n') 2
('ideal', 'n') 2
('productividad', 'n') 2
('afortunados', 'n') 2
('expediente', 'n') 2
('sindicalizados', 'n') 2
('variedad', 'n') 2
('reactivación', 'n') 2
('órbita', 'n') 2
('pidiendo', 'n') 2
('económicos', 'n') 2
('cadena', 'n') 2
('asistente', 'n') 2
('acierto', 'n') 2
('repudio', 'n') 2
('derrota', 'n') 2
('necesita', 'n') 2
('visita', 'n') 2
('castillo', 'n') 2
('cansancio', 'n') 2
('vino', 'n') 2
('instrumento', 'n') 2
('camacho', 'n') 2
('michel', 'n') 2
('insulto', 'n') 2
('cuadro', 'n') 2
('órgano', 'n') 2
('rebote', 'n') 2
('empero', 'n') 2
('soto', 'n') 2
('rodrigo', 'n') 2
('arbitraria', 'n') 2
('zavala', 'n') 2
('martha', 'n') 2
('vivienda', 'n') 2
('candidatura', 'n') 2
('acoplamiento', 'n') 2
('ordalías', 'n') 2
('considero', 'n') 2
('costilla', 'n') 2
('pgragma', 'n') 2
('porfirio', 'n') 2
('aforo', 'n') 2
('molina', 'n') 2
('vuelta', 'n') 2
('militantes', 'n') 2
('orbe', 'n') 2
('farmacia', 'n') 2
('insuficiencia', 'n') 2
('barrio', 'n') 2
('parecería', 'n') 2
('retrasa', 'n') 2
('vendidos', 'n') 2
('recomendación', 'n') 2
('peraza', 'n') 2
('edificio', 'n') 2
('étnicos', 'n') 2
('gira', 'n') 2
('legalidad', 'n') 2
('visión', 'n') 2
('ritmo', 'n') 2
('inmueble', 'n') 2
('maquinita', 'n') 2
('obrera', 'n') 2
('prestación', 'n') 2
