[('interés', 'n'), 50] 16.578787320066404
[('banco', 'n'), 27] 16.103705796329972
[('mundo', 'n'), 26] 16.052336088839176
[('número', 'n'), 26] 16.052336088839176
[('nivel', 'n'), 26] 16.052336088839176
[('valor', 'n'), 26] 16.052336088839176
[('cambio', 'n'), 26] 16.052336088839176
[('autoridad', 'n'), 26] 16.052336088839176
[('materia', 'n'), 25] 15.996307119028673
[('economía', 'n'), 25] 15.996307119028673
[('embargo', 'n'), 25] 15.996307119028673
[('ciudad', 'n'), 25] 15.996307119028673
[('deuda', 'n'), 25] 15.996307119028673
[('vida', 'n'), 25] 15.996307119028673
[('inflación', 'n'), 25] 15.996307119028673
[('proyecto', 'n'), 25] 15.996307119028673
[('año', 'n'), 125] 15.96104316488434
[('unidos', 'n'), 24] 15.935145747230116
[('tecnología', 'n'), 24] 15.935145747230116
[('demanda', 'n'), 24] 15.935145747230116
[('fin', 'n'), 24] 15.935145747230116
[('foro', 'n'), 23] 15.868311928392327
[('manera', 'n'), 23] 15.868311928392327
[('sector', 'n'), 23] 15.868311928392327
[('crisis', 'n'), 23] 15.868311928392327
[('mes', 'n'), 23] 15.868311928392327
[('dirigente', 'n'), 22] 15.795186145765072
[('control', 'n'), 22] 15.795186145765072
[('tasa', 'n'), 22] 15.795186145765072
[('señor', 'n'), 22] 15.795186145765072
[('pago', 'n'), 21] 15.715053834892633
[('partido', 'n'), 21] 15.715053834892633
[('capital', 'n'), 21] 15.715053834892633
[('pueblo', 'n'), 21] 15.715053834892633
[('director', 'n'), 21] 15.715053834892633
[('mano', 'n'), 21] 15.715053834892633
[('forma', 'n'), 20] 15.627085905239369
[('investigación', 'n'), 20] 15.627085905239369
[('compra', 'n'), 20] 15.627085905239369
[('planta', 'n'), 20] 15.627085905239369
[('hora', 'n'), 20] 15.627085905239369
[('industria', 'n'), 20] 15.627085905239369
[('base', 'n'), 20] 15.627085905239369
[('dato', 'n'), 20] 15.627085905239369
[('sindicato', 'n'), 19] 15.53031414569594
[('crédito', 'n'), 19] 15.53031414569594
[('papel', 'n'), 19] 15.53031414569594
[('trimestre', 'n'), 19] 15.53031414569594
[('república', 'n'), 19] 15.53031414569594
[('seguridad', 'n'), 19] 15.53031414569594
[('condición', 'n'), 19] 15.53031414569594
[('medida', 'n'), 18] 15.423599841226823
[('comisión', 'n'), 18] 15.423599841226823
[('institución', 'n'), 18] 15.423599841226823
[('computadora', 'n'), 18] 15.423599841226823
[('red', 'n'), 18] 15.423599841226823
[('negociación', 'n'), 18] 15.423599841226823
[('colonia', 'n'), 18] 15.423599841226823
[('derecho', 'n'), 18] 15.423599841226823
[('apoyo', 'n'), 18] 15.423599841226823
[('costo', 'n'), 17] 15.305593261060542
[('salario', 'n'), 17] 15.305593261060542
[('financiero', 'n'), 17] 15.305593261060542
[('luis', 'n'), 17] 15.305593261060542
[('líder', 'n'), 17] 15.305593261060542
[('recuperación', 'n'), 17] 15.305593261060542
[('mayoría', 'n'), 17] 15.305593261060542
[('resultado', 'n'), 17] 15.305593261060542
[('secretario', 'n'), 17] 15.305593261060542
[('periodo', 'n'), 16] 15.174680692569373
[('consejo', 'n'), 16] 15.174680692569373
[('unidad', 'n'), 16] 15.174680692569373
[('producción', 'n'), 16] 15.174680692569373
[('sociedad', 'n'), 16] 15.174680692569373
[('venta', 'n'), 16] 15.174680692569373
[('decisión', 'n'), 16] 15.174680692569373
[('ingreso', 'n'), 16] 15.174680692569373
[('peso', 'n'), 16] 15.174680692569373
[('predio', 'n'), 16] 15.174680692569373
[('proceso', 'n'), 16] 15.174680692569373
[('secretaría', 'n'), 16] 15.174680692569373
[('funcionario', 'n'), 16] 15.174680692569373
[('elección', 'n'), 16] 15.174680692569373
[('población', 'n'), 16] 15.174680692569373
[('nacional', 'n'), 16] 15.174680692569373
[('comunicación', 'n'), 16] 15.174680692569373
[('ejemplo', 'n'), 16] 15.174680692569373
[('administración', 'n'), 15] 15.028914207488361
[('punto', 'n'), 15] 15.028914207488361
[('respecto', 'n'), 15] 15.028914207488361
[('banca', 'n'), 15] 15.028914207488361
[('capacidad', 'n'), 15] 15.028914207488361
[('colosio', 'n'), 15] 15.028914207488361
[('distrito', 'n'), 15] 15.028914207488361
[('centro', 'n'), 15] 15.028914207488361
[('análisis', 'n'), 15] 15.028914207488361
[('tema', 'n'), 14] 14.865917054365738
[('cantidad', 'n'), 14] 14.865917054365738
[('falta', 'n'), 14] 14.865917054365738
[('lado', 'n'), 14] 14.865917054365738
[('aeropuerto', 'n'), 14] 14.865917054365738
[('gente', 'n'), 14] 14.865917054365738
[('mecanismo', 'n'), 14] 14.865917054365738
[('aplicación', 'n'), 14] 14.865917054365738
[('realidad', 'n'), 14] 14.865917054365738
[('organismo', 'n'), 14] 14.865917054365738
[('nombre', 'n'), 14] 14.865917054365738
[('político', 'n'), 14] 14.865917054365738
[('línea', 'n'), 14] 14.865917054365738
[('mesa', 'n'), 14] 14.865917054365738
[('camino', 'n'), 13] 14.682753950549612
[('saldo', 'n'), 13] 14.682753950549612
[('actividad', 'n'), 13] 14.682753950549612
[('negocio', 'n'), 13] 14.682753950549612
[('práctica', 'n'), 13] 14.682753950549612
[('conflicto', 'n'), 13] 14.682753950549612
[('consumo', 'n'), 13] 14.682753950549612
[('pobreza', 'n'), 13] 14.682753950549612
[('periodista', 'n'), 13] 14.682753950549612
[('hombre', 'n'), 13] 14.682753950549612
[('página', 'n'), 13] 14.682753950549612
[('cartera', 'n'), 13] 14.682753950549612
[('empresario', 'n'), 13] 14.682753950549612
[('competencia', 'n'), 13] 14.682753950549612
[('chiapas', 'n'), 13] 14.682753950549612
[('reunión', 'n'), 13] 14.682753950549612
[('hernández', 'n'), 13] 14.682753950549612
[('auditoría', 'n'), 13] 14.682753950549612
[('cosa', 'n'), 13] 14.682753950549612
[('registro', 'n'), 13] 14.682753950549612
[('lector', 'n'), 13] 14.682753950549612
[('asamblea', 'n'), 12] 14.47574967204629
[('modelo', 'n'), 12] 14.47574967204629
[('lugar', 'n'), 12] 14.47574967204629
[('manzana', 'n'), 12] 14.47574967204629
[('inversión', 'n'), 12] 14.47574967204629
[('cabo', 'n'), 12] 14.47574967204629
[('empleo', 'n'), 12] 14.47574967204629
[('prueba', 'n'), 12] 14.47574967204629
[('respeto', 'n'), 12] 14.47574967204629
[('medio', 'n'), 12] 14.47574967204629
[('incremento', 'n'), 12] 14.47574967204629
[('diputado', 'n'), 12] 14.47574967204629
[('diálogo', 'n'), 12] 14.47574967204629
[('razón', 'n'), 12] 14.47574967204629
[('hambre', 'n'), 12] 14.47574967204629
[('empleado', 'n'), 12] 14.47574967204629
[('rumbo', 'n'), 12] 14.47574967204629
[('esquema', 'n'), 12] 14.47574967204629
[('orden', 'n'), 12] 14.47574967204629
[('niño', 'n'), 12] 14.47574967204629
[('estudio', 'n'), 12] 14.47574967204629
[('plazo', 'n'), 12] 14.47574967204629
[('mexicana', 'n'), 11] 14.240229508907028
[('movimiento', 'n'), 11] 14.240229508907028
[('calidad', 'n'), 11] 14.240229508907028
[('importación', 'n'), 11] 14.240229508907028
[('asociación', 'n'), 11] 14.240229508907028
[('propiedad', 'n'), 11] 14.240229508907028
[('propuesta', 'n'), 11] 14.240229508907028
[('televisión', 'n'), 11] 14.240229508907028
[('vía', 'n'), 11] 14.240229508907028
[('gonzález', 'n'), 11] 14.240229508907028
[('equipo', 'n'), 11] 14.240229508907028
[('municipio', 'n'), 11] 14.240229508907028
[('productor', 'n'), 11] 14.240229508907028
[('donaldo', 'n'), 11] 14.240229508907028
[('noticia', 'n'), 11] 14.240229508907028
[('compañía', 'n'), 11] 14.240229508907028
[('emisora', 'n'), 11] 14.240229508907028
[('ahorro', 'n'), 11] 14.240229508907028
[('gobernador', 'n'), 11] 14.240229508907028
[('hacienda', 'n'), 11] 14.240229508907028
[('liquidación', 'n'), 11] 14.240229508907028
[('transporte', 'n'), 11] 14.240229508907028
[('opinión', 'n'), 11] 14.240229508907028
[('documento', 'n'), 10] 13.97013811681038
[('idea', 'n'), 10] 13.97013811681038
[('ramo', 'n'), 10] 13.97013811681038
[('crimen', 'n'), 10] 13.97013811681038
[('pib', 'n'), 10] 13.97013811681038
[('primero', 'n'), 10] 13.97013811681038
[('subsidio', 'n'), 10] 13.97013811681038
[('policía', 'n'), 10] 13.97013811681038
[('pasivos', 'n'), 10] 13.97013811681038
[('operación', 'n'), 10] 13.97013811681038
[('elemento', 'n'), 10] 13.97013811681038
[('consecuencia', 'n'), 10] 13.97013811681038
[('plan', 'n'), 10] 13.97013811681038
[('suero', 'n'), 10] 13.97013811681038
[('público', 'n'), 10] 13.97013811681038
[('bolsa', 'n'), 10] 13.97013811681038
[('casa', 'n'), 10] 13.97013811681038
[('santa', 'n'), 10] 13.97013811681038
[('violencia', 'n'), 10] 13.97013811681038
[('quiebra', 'n'), 10] 13.97013811681038
[('duda', 'n'), 10] 13.97013811681038
[('facultad', 'n'), 10] 13.97013811681038
[('término', 'n'), 10] 13.97013811681038
[('carretera', 'n'), 10] 13.97013811681038
[('uso', 'n'), 10] 13.97013811681038
[('carlos', 'n'), 10] 13.97013811681038
[('flor', 'n'), 9] 13.657462551779812
[('zona', 'n'), 9] 13.657462551779812
[('manejo', 'n'), 9] 13.657462551779812
[('javier', 'n'), 9] 13.657462551779812
[('directiva', 'n'), 9] 13.657462551779812
[('moral', 'n'), 9] 13.657462551779812
[('asesinato', 'n'), 9] 13.657462551779812
[('francisco', 'n'), 9] 13.657462551779812
[('objetivo', 'n'), 9] 13.657462551779812
[('compromiso', 'n'), 9] 13.657462551779812
[('grado', 'n'), 9] 13.657462551779812
[('agua', 'n'), 9] 13.657462551779812
[('ramírez', 'n'), 9] 13.657462551779812
[('nación', 'n'), 9] 13.657462551779812
[('informática', 'n'), 9] 13.657462551779812
[('activo', 'n'), 9] 13.657462551779812
[('periodismo', 'n'), 9] 13.657462551779812
[('campesina', 'n'), 9] 13.657462551779812
[('periódico', 'n'), 9] 13.657462551779812
[('jorge', 'n'), 9] 13.657462551779812
[('crecimiento', 'n'), 9] 13.657462551779812
[('gasto', 'n'), 9] 13.657462551779812
[('obligación', 'n'), 9] 13.657462551779812
[('junto', 'n'), 9] 13.657462551779812
[('tonelada', 'n'), 9] 13.657462551779812
[('norte', 'n'), 9] 13.657462551779812
[('vehículo', 'n'), 9] 13.657462551779812
[('característica', 'n'), 9] 13.657462551779812
[('área', 'n'), 9] 13.657462551779812
[('desempleo', 'n'), 9] 13.657462551779812
[('función', 'n'), 9] 13.657462551779812
[('cámara', 'n'), 9] 13.657462551779812
[('plana', 'n'), 9] 13.657462551779812
[('asunto', 'n'), 9] 13.657462551779812
[('historia', 'n'), 9] 13.657462551779812
[('familia', 'n'), 9] 13.657462551779812
[('víctima', 'n'), 8] 13.291327118721446
[('hermano', 'n'), 8] 13.291327118721446
[('cuestión', 'n'), 8] 13.291327118721446
[('suma', 'n'), 8] 13.291327118721446
[('verdad', 'n'), 8] 13.291327118721446
[('campo', 'n'), 8] 13.291327118721446
[('estabilidad', 'n'), 8] 13.291327118721446
[('responsabilidad', 'n'), 8] 13.291327118721446
[('presencia', 'n'), 8] 13.291327118721446
[('ciudadano', 'n'), 8] 13.291327118721446
[('tipo', 'n'), 8] 13.291327118721446
[('incumplimiento', 'n'), 8] 13.291327118721446
[('responsables', 'n'), 8] 13.291327118721446
[('denuncia', 'n'), 8] 13.291327118721446
[('accidente', 'n'), 8] 13.291327118721446
[('procurador', 'n'), 8] 13.291327118721446
[('dirección', 'n'), 8] 13.291327118721446
[('congreso', 'n'), 8] 13.291327118721446
[('antonio', 'n'), 8] 13.291327118721446
[('muerte', 'n'), 8] 13.291327118721446
[('margen', 'n'), 8] 13.291327118721446
[('relación', 'n'), 8] 13.291327118721446
[('posibilidad', 'n'), 8] 13.291327118721446
[('etapa', 'n'), 8] 13.291327118721446
[('cifra', 'n'), 8] 13.291327118721446
[('alimento', 'n'), 8] 13.291327118721446
[('serie', 'n'), 8] 13.291327118721446
[('procesamiento', 'n'), 8] 13.291327118721446
[('mensaje', 'n'), 8] 13.291327118721446
[('baja', 'n'), 8] 13.291327118721446
[('espacio', 'n'), 8] 13.291327118721446
[('promedio', 'n'), 8] 13.291327118721446
[('escenario', 'n'), 8] 13.291327118721446
[('maría', 'n'), 8] 13.291327118721446
[('causa', 'n'), 8] 13.291327118721446
[('perspectiva', 'n'), 8] 13.291327118721446
[('película', 'n'), 8] 13.291327118721446
[('zedillo', 'n'), 8] 13.291327118721446
[('agencia', 'n'), 8] 13.291327118721446
[('tarjeta', 'n'), 8] 13.291327118721446
[('vecino', 'n'), 8] 13.291327118721446
[('monto', 'n'), 8] 13.291327118721446
[('opción', 'n'), 8] 13.291327118721446
[('participación', 'n'), 8] 13.291327118721446
[('compañero', 'n'), 8] 13.291327118721446
[('arma', 'n'), 8] 13.291327118721446
[('latina', 'n'), 8] 13.291327118721446
[('estrategia', 'n'), 8] 13.291327118721446
[('voluntad', 'n'), 8] 13.291327118721446
[('calle', 'n'), 8] 13.291327118721446
[('aumento', 'n'), 8] 13.291327118721446
[('investigador', 'n'), 8] 13.291327118721446
[('edición', 'n'), 8] 13.291327118721446
[('protesta', 'n'), 8] 13.291327118721446
[('hecho', 'n'), 8] 13.291327118721446
[('tarea', 'n'), 8] 13.291327118721446
[('jefe', 'n'), 8] 13.291327118721446
[('necesidad', 'n'), 8] 13.291327118721446
[('exportación', 'n'), 8] 13.291327118721446
[('jesucristo', 'n'), 7] 12.856511340420619
[('minuto', 'n'), 7] 12.856511340420619
[('respuesta', 'n'), 7] 12.856511340420619
[('instituto', 'n'), 7] 12.856511340420619
[('instalación', 'n'), 7] 12.856511340420619
[('suprema', 'n'), 7] 12.856511340420619
[('máquina', 'n'), 7] 12.856511340420619
[('pregunta', 'n'), 7] 12.856511340420619
[('riesgo', 'n'), 7] 12.856511340420619
[('salida', 'n'), 7] 12.856511340420619
[('banquero', 'n'), 7] 12.856511340420619
[('hijo', 'n'), 7] 12.856511340420619
[('constitución', 'n'), 7] 12.856511340420619
[('tendencia', 'n'), 7] 12.856511340420619
[('década', 'n'), 7] 12.856511340420619
[('contrario', 'n'), 7] 12.856511340420619
[('cierre', 'n'), 7] 12.856511340420619
[('principio', 'n'), 7] 12.856511340420619
[('playa', 'n'), 7] 12.856511340420619
[('torno', 'n'), 7] 12.856511340420619
[('fernández', 'n'), 7] 12.856511340420619
[('dólar', 'n'), 7] 12.856511340420619
[('gobernación', 'n'), 7] 12.856511340420619
[('siglo', 'n'), 7] 12.856511340420619
[('fuerza', 'n'), 7] 12.856511340420619
[('iniciativa', 'n'), 7] 12.856511340420619
[('indígena', 'n'), 7] 12.856511340420619
[('california', 'n'), 7] 12.856511340420619
[('ministerio', 'n'), 7] 12.856511340420619
[('américa', 'n'), 7] 12.856511340420619
[('carretero', 'n'), 7] 12.856511340420619
[('oferta', 'n'), 7] 12.856511340420619
[('departamento', 'n'), 7] 12.856511340420619
[('pnud', 'n'), 7] 12.856511340420619
[('flujo', 'n'), 7] 12.856511340420619
[('circunstancia', 'n'), 7] 12.856511340420619
[('garcía', 'n'), 7] 12.856511340420619
[('índice', 'n'), 7] 12.856511340420619
[('teléfono', 'n'), 7] 12.856511340420619
[('grasa', 'n'), 7] 12.856511340420619
[('maltrato', 'n'), 7] 12.856511340420619
[('dirigencia', 'n'), 7] 12.856511340420619
[('oficina', 'n'), 7] 12.856511340420619
[('juicio', 'n'), 7] 12.856511340420619
[('ejecutivo', 'n'), 7] 12.856511340420619
[('ajuste', 'n'), 7] 12.856511340420619
[('capitalino', 'n'), 7] 12.856511340420619
[('fecha', 'n'), 7] 12.856511340420619
[('error', 'n'), 7] 12.856511340420619
[('colosismo', 'n'), 7] 12.856511340420619
[('alianza', 'n'), 7] 12.856511340420619
[('discusión', 'n'), 7] 12.856511340420619
[('mario', 'n'), 7] 12.856511340420619
[('bien', 'n'), 7] 12.856511340420619
[('módulo', 'n'), 7] 12.856511340420619
[('búsqueda', 'n'), 7] 12.856511340420619
[('caída', 'n'), 7] 12.856511340420619
[('presión', 'n'), 7] 12.856511340420619
[('pesar', 'n'), 7] 12.856511340420619
[('futuro', 'n'), 7] 12.856511340420619
[('gracia', 'n'), 7] 12.856511340420619
[('región', 'n'), 6] 12.330893503032716
[('ley', 'n'), 6] 12.330893503032716
[('economista', 'n'), 6] 12.330893503032716
[('mauricio', 'n'), 6] 12.330893503032716
[('posición', 'n'), 6] 12.330893503032716
[('galván', 'n'), 6] 12.330893503032716
[('resto', 'n'), 6] 12.330893503032716
[('construcción', 'n'), 6] 12.330893503032716
[('esfuerzo', 'n'), 6] 12.330893503032716
[('desalojos', 'n'), 6] 12.330893503032716
[('lucha', 'n'), 6] 12.330893503032716
[('doctor', 'n'), 6] 12.330893503032716
[('templo', 'n'), 6] 12.330893503032716
[('crítica', 'n'), 6] 12.330893503032716
[('insumos', 'n'), 6] 12.330893503032716
[('instancia', 'n'), 6] 12.330893503032716
[('lácteo', 'n'), 6] 12.330893503032716
[('cuerpo', 'n'), 6] 12.330893503032716
[('madero', 'n'), 6] 12.330893503032716
[('motivo', 'n'), 6] 12.330893503032716
[('éxito', 'n'), 6] 12.330893503032716
[('confianza', 'n'), 6] 12.330893503032716
[('acceso', 'n'), 6] 12.330893503032716
[('proporción', 'n'), 6] 12.330893503032716
[('definición', 'n'), 6] 12.330893503032716
[('nueva', 'n'), 6] 12.330893503032716
[('puestos', 'n'), 6] 12.330893503032716
[('actitud', 'n'), 6] 12.330893503032716
[('delito', 'n'), 6] 12.330893503032716
[('productiva', 'n'), 6] 12.330893503032716
[('bmv', 'n'), 6] 12.330893503032716
[('informe', 'n'), 6] 12.330893503032716
[('queso', 'n'), 6] 12.330893503032716
[('pgr', 'n'), 6] 12.330893503032716
[('diferencia', 'n'), 6] 12.330893503032716
[('cooperación', 'n'), 6] 12.330893503032716
[('lozano', 'n'), 6] 12.330893503032716
[('vigilancia', 'n'), 6] 12.330893503032716
[('ambiente', 'n'), 6] 12.330893503032716
[('pedro', 'n'), 6] 12.330893503032716
[('meta', 'n'), 6] 12.330893503032716
[('comportamiento', 'n'), 6] 12.330893503032716
[('vista', 'n'), 6] 12.330893503032716
[('bebida', 'n'), 6] 12.330893503032716
[('indemnizaciones', 'n'), 6] 12.330893503032716
[('carga', 'n'), 6] 12.330893503032716
[('destino', 'n'), 6] 12.330893503032716
[('artículo', 'n'), 6] 12.330893503032716
[('pri', 'n'), 6] 12.330893503032716
[('labor', 'n'), 6] 12.330893503032716
[('prd', 'n'), 6] 12.330893503032716
[('oscar', 'n'), 6] 12.330893503032716
[('propietario', 'n'), 6] 12.330893503032716
[('moreno', 'n'), 6] 12.330893503032716
[('corrupción', 'n'), 6] 12.330893503032716
[('mitad', 'n'), 6] 12.330893503032716
[('eduardo', 'n'), 6] 12.330893503032716
[('declaración', 'n'), 6] 12.330893503032716
[('analista', 'n'), 6] 12.330893503032716
[('herramienta', 'n'), 6] 12.330893503032716
[('gerente', 'n'), 6] 12.330893503032716
[('cargo', 'n'), 6] 12.330893503032716
[('agrario', 'n'), 6] 12.330893503032716
[('domingo', 'n'), 5] 11.680743884459597
[('muestra', 'n'), 5] 11.680743884459597
[('fraude', 'n'), 5] 11.680743884459597
[('retiro', 'n'), 5] 11.680743884459597
[('teatro', 'n'), 5] 11.680743884459597
[('seguimiento', 'n'), 5] 11.680743884459597
[('ricardo', 'n'), 5] 11.680743884459597
[('disminución', 'n'), 5] 11.680743884459597
[('estación', 'n'), 5] 11.680743884459597
[('chiapaneco', 'n'), 5] 11.680743884459597
[('queja', 'n'), 5] 11.680743884459597
[('alvarez', 'n'), 5] 11.680743884459597
[('conducta', 'n'), 5] 11.680743884459597
[('lechera', 'n'), 5] 11.680743884459597
[('época', 'n'), 5] 11.680743884459597
[('panista', 'n'), 5] 11.680743884459597
[('solicitud', 'n'), 5] 11.680743884459597
[('barco', 'n'), 5] 11.680743884459597
[('guerra', 'n'), 5] 11.680743884459597
[('representantes', 'n'), 5] 11.680743884459597
[('sequía', 'n'), 5] 11.680743884459597
[('consumidor', 'n'), 5] 11.680743884459597
[('tratado', 'n'), 5] 11.680743884459597
[('pie', 'n'), 5] 11.680743884459597
[('aspecto', 'n'), 5] 11.680743884459597
[('rendimiento', 'n'), 5] 11.680743884459597
[('sur', 'n'), 5] 11.680743884459597
[('juan', 'n'), 5] 11.680743884459597
[('balanza', 'n'), 5] 11.680743884459597
[('rico', 'n'), 5] 11.680743884459597
[('marcha', 'n'), 5] 11.680743884459597
[('cuenta', 'n'), 5] 11.680743884459597
[('italia', 'n'), 5] 11.680743884459597
[('auxilio', 'n'), 5] 11.680743884459597
[('voz', 'n'), 5] 11.680743884459597
[('procuraduría', 'n'), 5] 11.680743884459597
[('oportunidad', 'n'), 5] 11.680743884459597
[('requisito', 'n'), 5] 11.680743884459597
[('reducción', 'n'), 5] 11.680743884459597
[('conclusión', 'n'), 5] 11.680743884459597
[('marco', 'n'), 5] 11.680743884459597
[('efecto', 'n'), 5] 11.680743884459597
[('paso', 'n'), 5] 11.680743884459597
[('perversa', 'n'), 5] 11.680743884459597
[('puerta', 'n'), 5] 11.680743884459597
[('par', 'n'), 5] 11.680743884459597
[('correo', 'n'), 5] 11.680743884459597
[('voto', 'n'), 5] 11.680743884459597
[('amigo', 'n'), 5] 11.680743884459597
[('señal', 'n'), 5] 11.680743884459597
[('importancia', 'n'), 5] 11.680743884459597
[('hambruna', 'n'), 5] 11.680743884459597
[('agro', 'n'), 5] 11.680743884459597
[('entrada', 'n'), 5] 11.680743884459597
[('clase', 'n'), 5] 11.680743884459597
[('avance', 'n'), 5] 11.680743884459597
[('mujer', 'n'), 5] 11.680743884459597
[('rescate', 'n'), 5] 11.680743884459597
[('ruta', 'n'), 5] 11.680743884459597
[('pérez', 'n'), 5] 11.680743884459597
[('grano', 'n'), 5] 11.680743884459597
[('enfrentamiento', 'n'), 5] 11.680743884459597
[('trámite', 'n'), 5] 11.680743884459597
[('irregularidad', 'n'), 5] 11.680743884459597
[('felipe', 'n'), 5] 11.680743884459597
[('libertad', 'n'), 5] 11.680743884459597
[('concepto', 'n'), 5] 11.680743884459597
[('actualidad', 'n'), 5] 11.680743884459597
[('inmigración', 'n'), 5] 11.680743884459597
[('integrante', 'n'), 5] 11.680743884459597
[('desequilibrios', 'n'), 5] 11.680743884459597
[('misión', 'n'), 5] 11.680743884459597
[('fomento', 'n'), 5] 11.680743884459597
[('roberto', 'n'), 5] 11.680743884459597
[('miembro', 'n'), 5] 11.680743884459597
[('reestructuración', 'n'), 5] 11.680743884459597
[('velocidad', 'n'), 5] 11.680743884459597
[('apertura', 'n'), 5] 11.680743884459597
[('palma', 'n'), 5] 11.680743884459597
[('impuesto', 'n'), 5] 11.680743884459597
[('autor', 'n'), 5] 11.680743884459597
[('piso', 'n'), 5] 11.680743884459597
[('figura', 'n'), 5] 11.680743884459597
[('fracaso', 'n'), 5] 11.680743884459597
[('democracia', 'n'), 5] 11.680743884459597
[('firma', 'n'), 5] 11.680743884459597
[('carta', 'n'), 5] 11.680743884459597
[('régimen', 'n'), 5] 11.680743884459597
[('manuel', 'n'), 5] 11.680743884459597
[('héctor', 'n'), 5] 11.680743884459597
[('alza', 'n'), 5] 11.680743884459597
[('entidad', 'n'), 5] 11.680743884459597
[('radio', 'n'), 5] 11.680743884459597
[('beneficios', 'n'), 5] 11.680743884459597
[('extremo', 'n'), 5] 11.680743884459597
[('toma', 'n'), 4] 10.85129849335349
[('reclusorio', 'n'), 4] 10.85129849335349
[('tribunal', 'n'), 4] 10.85129849335349
[('naturaleza', 'n'), 4] 10.85129849335349
[('díaz', 'n'), 4] 10.85129849335349
[('ernesto', 'n'), 4] 10.85129849335349
[('capacitación', 'n'), 4] 10.85129849335349
[('educación', 'n'), 4] 10.85129849335349
[('moratoria', 'n'), 4] 10.85129849335349
[('legislativa', 'n'), 4] 10.85129849335349
[('delincuencia', 'n'), 4] 10.85129849335349
[('intención', 'n'), 4] 10.85129849335349
[('independientes', 'n'), 4] 10.85129849335349
[('regreso', 'n'), 4] 10.85129849335349
[('déficit', 'n'), 4] 10.85129849335349
[('gramo', 'n'), 4] 10.85129849335349
[('conocimiento', 'n'), 4] 10.85129849335349
[('billete', 'n'), 4] 10.85129849335349
[('guerrero', 'n'), 4] 10.85129849335349
[('obispo', 'n'), 4] 10.85129849335349
[('sustento', 'n'), 4] 10.85129849335349
[('cómputo', 'n'), 4] 10.85129849335349
[('cajero', 'n'), 4] 10.85129849335349
[('universidad', 'n'), 4] 10.85129849335349
[('tortilla', 'n'), 4] 10.85129849335349
[('borja', 'n'), 4] 10.85129849335349
[('bonos', 'n'), 4] 10.85129849335349
[('carrera', 'n'), 4] 10.85129849335349
[('julio', 'n'), 4] 10.85129849335349
[('inversionistas', 'n'), 4] 10.85129849335349
[('evolución', 'n'), 4] 10.85129849335349
[('modificación', 'n'), 4] 10.85129849335349
[('pérdida', 'n'), 4] 10.85129849335349
[('convenio', 'n'), 4] 10.85129849335349
[('angel', 'n'), 4] 10.85129849335349
[('lara', 'n'), 4] 10.85129849335349
[('carácter', 'n'), 4] 10.85129849335349
[('astronauta', 'n'), 4] 10.85129849335349
[('agrupación', 'n'), 4] 10.85129849335349
[('florida', 'n'), 4] 10.85129849335349
[('plática', 'n'), 4] 10.85129849335349
[('pretexto', 'n'), 4] 10.85129849335349
[('protección', 'n'), 4] 10.85129849335349
[('blanco', 'n'), 4] 10.85129849335349
[('tesis', 'n'), 4] 10.85129849335349
[('contrato', 'n'), 4] 10.85129849335349
[('fuga', 'n'), 4] 10.85129849335349
[('ámbito', 'n'), 4] 10.85129849335349
[('campaña', 'n'), 4] 10.85129849335349
